,comments,sentiment
65,거울 앞에서 또 연습해 두 눈을 크게 떠 이런 표정을 넌 좋아해 어떻게 하면 더 연약해 청초해 보일까 안 꾸민 듯 꾸며보곤 해 여자의 마음을 너무 몰라 넌 두려운 내 모습까지 감싸 안아줘 난 네머리 꼭대기에서 춤춰 난 네머리 꼭대기에서 춤 춰 영혼까지 끌어떠는 내숭 결국 이게 다 널위한 거야순수한 내 눈빛 보고 잔머리 굴리지 말고 원래 많이 못 먹어요양이 적어서 벌렌 절대 못 잡아 요 너무 무서워 여자의 마음을 너무 몰라 넌 두려운 내 모습까지 감싸 안아줘 난 네머리 꼭대기에서 춤춰 난 네머리 꼭대기 에서 춤 춰 영혼까지 끌어떠는 내숭 결국 이게 다 널위한 거야순수한 내 눈빛 보고 잔머리 굴리지 말고 네가 사랑에 빠진 건 내 계획대로 이제 애쓰지 않아도 네가 사랑에 빠진 건 내 계획대로 이제 애쓰지 않아 도난 네머리 꼭대기에서 춤춰,
66,한국인 어디 써,
67,소미 넘나이쁘다승승장구 하자,0
68,육식 맨님 영상 보고 들으러 왔는데 노래 너무 좋네ㄷㄷ,0
69,화사마리아,
70,노래 좋다,
71,어뜩해에 휴,
72,싫어요는 누가 누르는 거야 쿵쾅 페미들이지,1
73,뮤비가 제니솔로랑 그냥 똑같네,
74,근데 남주랑 부딫힐 때 남주 너무 맥아리 없이 쓰러지는 거 아닌 겨ㅋㅋㅋ 둘 다 귀엽긴 한데 ㅋㅋㅋ,
75,소미야 노래 진짜 잘 나왔다 ㅠㅠㅠㅠㅠㅠㅠ1등 각이다,0
76,미드여주가 한국말로 노래 부르니까 기분이 이상해,0
77,노래졸라 좋아,
78,얼굴 자체가 하이틴이라 존 나 어울리노 ㅠ 사랑스럽다 전소미,
79,헐소미야,
80,한 글 댓 좀 보자쫌,
81,여기요,
82,헤헤이쁘고 섹시한 대요,
83,소연이는 삠삠소미는 덤덤,
84,전소미귄카,
85,울소미 최고,
86,육식 맨 보고 옴1,
87,ㅈㄴ 내 이상형이네,
88,소미하이틴 콘셉트 찰떡 이야,
89,노래 좋다,
90,ㅋㅋㅋㅋㅋ,
91,뮤비볼 때마다 설레네ㅋㅋ소미 매력쩐다,0
92,아리아나 그란데 같다,
93,이번 노래 넘좋음,
94,전소 미 너무 예쁘다,
95,여자의 마음을 너무 몰라넌,
96,육식 맨 보고 넘어왔습니다,
97,반갑 솜니다육식 맨님 유튜브 저도 좀 전에 보고 왔어요,
98,비트가 넘 좋다,
99,엌 노래 좋다 ㅋㅋㅋㅋ 본인 색깔 찾았네,0
100,가사가 넘구려,
101,육식 맨 보고 넘어오신 분 ㅋㅋㅋㅋ,
102,하이틴 퀸 카 진짜 미쳤음 넘 예뻐ㅜㅜ 뮤비도 너무 예쁨가사가 좀비트에 비해 별로지만 가사스루하면 좋음,0
103,진짜 가사 너무 아쉬워 배우보다 더 배우 같은 가사,0
104,진짜 예쁘 다 역대급 이야 이렇게 만점 점 더 잘 됬으면 좋겠다ㅠㅠ,0
105,너무 이쁜데 노래는 별루다,
106,육식 맨 보고 왔다손,
107,감사합니다,
108,별로네,
109,육식 맨님 보고 오신 분손,
110,감사합니다소 미의 3939 많이 들어주세요,
111,전소 미 좋아하는 한국인 없나요,
112,와소미레전드 외모 갱신 하이틴 컨셉 미쳧,0
113,소미 언니 노래랑 뮤비는 하이틴이라 너무 좋다,
114,퇴물이란 말도 아깝네 고점은 낮고 저점은 끝도 없네,1
115,하이틴 최강자가 나타났다,0
116,크리스티나 아길레라가 보여요,
117,와 뮤비 완전하이틴 재질,0
118,오ㅏ진짜 하이틴이 ㄷ 아니 왜 이렇게 이쁜 거임,0
119,보컬톤이 전보다 훨씬 안정적으로 잡히고 특히 춤 실력이 엄청 늘은 게 보여 요춤을 추는 데 흐물흐물한 느낌이 없고 딱딱 맞으며 선이 깔끔해지고 강약조절도 더 잘됐네요 표정도 훨씬 다양해지고 무대 전체적으로 안정감이 많이 늘었어요 보컬이 불안해 보이거나 표정 춤이 불안한 느낌이 하나도 없네요 열심히 연습하고 준비한 게 많이 보여 요점점 성장하는 모습이 너무나도 대견합니다 다만 1년에 한 번만 컴백하고 그 앨범마저 타이틀 하나만 있는 게 아쉬워요 물론 그 곡의 완성도를 높이기위 해 그런 것 같아 보이지만 벌써 데뷔 3년차기 때문에 여러 수록곡들과 1년에 두 번 정도 컴백했음 좋겠네요 이번 보컬도 안정감이 많이 늘고 소미의 매력을 잘 보여줬지만 춤 실력이 많이 늘었기 때문에 보컬 연습을 더하여 다음번엔 보컬이 더 돋보이는 노래였음 좋겠네요 연습하고 준비하느라고생했어요 노래 너무 좋고 아프지 않게 건강관리 늘 잘해요사랑합니다솜솜 최고,0
120,선미 느낌이 좀 나는 데,
121,조회수 머선일이고 ㅋㅋ,0
122,살이 너무 빠졌네ㅜㅜ,
123,ㄱㅈㅇ,
124,영어 댓글이랑 한글 댓글 필터할 수 있음 좋겟 다ㅠ한 글 댓글들 칮으려고 너무 오래 내려가야 되,
125,안녕하세요 개인계정에 올리지 마세요,
126,노래 또 망했네,
127,와하이틴 영화다,
128,뮤비가 넘재밌 눈 데,
129,오 전보다 보컬이 되게 단단해졌어,0
130,이번 노래 대박,
131,ㅍ,
132,와 너무 말랐다 ㅠㅠㅠㅠㅠ,
133,ㄹㅇ 하이틴이네,
134,사랑해,
135,오영화 보는 것 같다잉,0
136,노래가 너무 적어,
137,오컴백 했네,
138,뭐지 뮤비 내내 나도 모르게 미소를 짓게 되네 원래 하이틴류 싫어하는데 뭐지 뭐지,0
139,오 뭐지 이번 노래 느낌 좋은데,0
140,하이틴 느낌 오진다ㅠㅠ,
141,한글 하나도 없네,
142,소미 진짜 영화에 나오는 하이틴 여주 같음 ㅠㅠㅠ,0
143,ㅠㅠ,
144,하이틴 그 자체 외모다,0
145,미쳤다,
146,솔직히 미술팀하고 헤메코팀만 잘한 느낌 가사도 이상,
147,ㅇㅈ,
148,좋다,
149,우ㅗ아,
150,진짜 불이었어,
151,하이틴 느낌 너무 조아,
152,뭔가 아리아나 그란데 같네,
153,사랑해요 전소미,
154,이번 노래진짜 좋다 제대로 이 갈고 온 느낌이여,0
155,머야머야 노래 짱 좋아,0
156,오보컬 많이 좋아진 듯 노래도 좋다,0
157,너무 말랐어 ㅠㅜㅜ 멋있긴 하지만 만약에 본인이 자기 만족이 아니라 대중을 위해 뺀 거라면 무리하지 말기를 가사도 곰곰이 생각해봤는데 여자의 내숭을 배척하고 강하고 솔직한 사랑만 써온 몇 년간의 트렌드를 깨고 사랑하는 사랑 앞에서 드라마틱한 상황을 계획하고 원하는 이미지를 형성하려는 현실적인 모습을 보여준다고 생각함 그게 사실이지 모든 여자가 그리하라고 종용하는 것도 아니고 편견을 에둘러가고 너무 공상적인 가사에 지친 나로서는 이런 가사도 신선하고 반가웠다,0
158,소미가 최고다,
159,그러니까 결국 하고 싶은 말이 ㅋㅋㅋ 배우보다 더 배우 남자 마음가지고 노는 여우라는 내용인 거아냐 ㅋㅋㅋ대체 10년 다 돼가는 트와이스치얼 업 시그널 여성상에서 발전하지를 않네 ㅋㅋㅋ틀 딱 기획자들 흐름 못 읽냐 ㅋㅋㅋㅋ 블핑에 스파나빨아야겠다ㅋㅋ,
160,어이거 ㅁ 뭔가 잘 될 것 같은데,0
161,로제처럼 영어로 다가도 괜찮을 거 같은데 왓츄웨이팅 포진짜 좋았는데,0
162,미쳤다 미첬어ㅠㅠ 비주얼 진짜 충격이 다ㅠㅠ 바비 인형보다 더 이뻐 ㅠㅠ소미흥하자,0
163,소미,
164,이거는 약간 선공개곡 바이브고 올해 안에 또 컴백한다는 말 있던데 수박 송들을 생각에 두근 세근네근,0
165,아 가사 실화 소미 너무 예쁘고 멜로디 좋은데 가사 너무 예상 못한 방향으로 갔네,0
166,이거제니랑 너무 비슷하자 너,
167,그닥,
168,소미완전 프롬퀸이네ㅠ소미 소속사는 양심 있음 24시간짜리 뮤비 다시 만들어줘 3분은 너무 짧음,0
169,개예뿐 데 노래는 글쎄,
170,걍미쳤어 너무 예뻐,0
171,헐레전드다,0
172,아예 다 영어로 노래 내줬으면 조켔다 요즘 그렇게 마니내던 디ㅜㅜ 진짜 완전 외국 언냐,0
173,아진짜 이 예쁜 애를 데리고 뭔 노래를 븅신 같은 걸 줬냐 소미아까워 죽겠네ㅠ,
174,딱히 매력 있다 생각한 적단 한 번도 없는데 이번 컨셉 너무 예쁘고 노래도 너무 좋고 뮤비도 너무 좋음 덕질하게 된다우왕,0
175,성 상품화로 떠놓고 참 뻔뻔하네ㅋ,
176,하너무 예쁘다 하이틴이 이렇게 찰떡일수가,
177,왜 별로 지나만 그래 느끼 남ㅠㅠ,
178,23151151 코로나시기에 이건 좀 에바아님 무슨 생각으로 이런 씬을 찍은 거지 얼마 전에 알바 구하는 그런 앱에서 유명 연예인 뮤비 파티 장면 알바 100명 넘게 구한다고 본 거 같은데,
179,랩도 넘 잘하는 공주님,0
180,하작곡가 누구야 왜 노래가 계속 아쉽냐,0
181,테디,
182,전소미 사랑해 너무 예쁘고 덤덤 노래도 좋다,0
183,소미한국말이 없어서 채우러 왓더 소미 진짜 ㅠㅠ 예쁘다가즈아,0
184,이 분 누구임,
185,선미랑 황보쓰까 놓은 거 같음,
186,대박 날 듯ㅎ,
187,하이틴 재질을 위해 태어난 인간 수준 아니냐,
188,와와 너무 좋다,
189,하이틴 갓 소미,
190,몰라요,
191,크레디트에서 사용하면 좋겠다 너무 잘 맞아서요,
192,노래졸라 이상하다 진심,
193,너무 좋은데 개인 차인 듯,0
194,살짝 선미랑 현아의 믹스스멜이 난다 좋구나 ㅎㅎ 둘보다 훨 이쁘고 어리니 잇힝,
195,퀸소미 최고네요 라디오에서 라이브로 덤덤부르는 거 보고 뮤비보러 다시 왔는데 감동입니다,0
196,웋 솜존예,
197,김홍여끝,
198,여러분들이 찾고 있는 한 글 댓글 여기 있습니다,
199,진짜 비트 미쳤다,0
200,3939ㅠㅠ,
201,언니 멋져,0
202,이번 하이틴 컨셉 미쳤다,
203,39할 수만 있다면 좋아 요 수백만개를 노리자,
204,이렇게 하이틴 컨셉 갈 거면 걍다 영어로 불러도 괜찮을 듯 물론 지금도 좋아요,0
205,전소미사랑해ㅠㅡㅠㅡㅠㅡㅠㅡㅠㅠ,
206,와 컨셉 넘좋다 노래도 좋고 뮤비도 좋고,
207,와 뮤비 진짜 개개 개개 잘 뽑음,0
208,소미 최고 야후,
209,미드 한편 다 봤다 2편도 부탁할께요,0
210,소미 어린 꼬마 아이로 대역 맡은 아이 진짜 소미하고 닮았다 실제 소미 저 나이 모습 딱 붕어빵이넹,0
211,소속사일 잘하누하이틴 여주 컨셉해달라니까 진짜 해줌,0
212,듀오덤,
213,그렇지 소미야터질 때까지 하는 거야니가 이기나 내가 이기나,0
214,이미 내숭안 떨어도 남주가 소미한테 푹 빠진 듯 여왕 그 자체 다군무에서 이효리도 살짝씩 보이는 거 같아 너무 좋아 노래ㅠㅠㅠ,0
215,완전 좋다 이런 하이틴,
216,이번에 다빡새게 했나 뭔가 허리가 훨씬 얇아진 거 같음 ㄷㄷ,
217,전소미,
218,다이어트 자극 오진다 소미 금발 최고 사룽해 ㅠㅠ,0
219,컨셉 노래 둘 다 너무 잘 뽑았다,0
220,살 엄청 빠졋네ㄷㄷ 근데 표정이 엄청풍부하고 좋아졌다 시선이 확 가네,0
221,장미 블랙 핑크,
222,제발 안무영상플리즈ㅠㅠ,0
223,너무 이쁘다 이번에,
224,장미 블랙 핑크,
225,하이틴 여주 같 당 큐ㅠㅠ,
226,가사가 시대 역행하긴 했는데 소미가 다 살렸다 소미화이팅,0
227,너무 너무 촣아ㅏㅏㅏ,
228,너무 예뻐요,
229,사랑해요,
230,너무 멋지다,
231,완전 머릿 속 망상 재질 후렴 완전 조타,0
232,와 제대로 하이틴이네 존예 존잘,0
233,개조아,
234,가사가 왜 이러는 겅미ㅜㅜ,
235,항상 훅이 졷 같네 훅 좀 졷 같은 기계음쓰지 말고니가 부르면 덧나냐,
236,화장 왜 저럼ㄷㄷ 무섭게 생김,
237,덤덤덤,
238,남자인 스타 주소 당장 내 앞으로,
239,소미도 곧 22살이구나니가 그렇게 후려쳤던 22살이 되니 기분이 어때,
240,으아 너무 매력 있어요 사람 안에 다양한 모습이 있지만 좋아하는 사람에겐 좋아할 것 같은 모습을 보여주고 싶으면서도 자기 모든 모습을 그대로 좋아해줬으면 하는 그런 복잡한 마음이 유쾌하게 잘 표현된 듯 소미 자체의 매력과 사랑스러움이 넘쳐 여ㅜㅜㅜㅜ,0
241,역시 갓 테디,
242,완벽하다,
243,와바비 인형이 네 진짜,
244,솔로로 활동을 시작하고 내는 곡마다 너무 중독성이 있고 노래가 고급 져 보입니다소 미님의 앞으로의 솔로 생활을 응원하겠습니다코로나 조심하고 건강하세요,0
245,아진짜 너무 예쁘네 노래도 너무 좋고 목소리도 너무 이쁘고 몇 번을 돌려보는지 모르겠다 진짜 넘이 뻐ㅠㅠ고생 많아 따완죠니 공주야 공주,0
246,제니솔로 느낌근데 소미 이번에 이 갈고 나왔네 그건 인정첨으로 소미 노래 듣고 소름끼 침 응원한다,0
247,비타솜사랑해,
248,하이틴 컨셉 미쳤다리진짜 넷플에 나오는 하이틴 여주 같음 ㅠㅠ 엉엉,0
249,네이버 웹툰의 신비가 생각난다 소미랑 닮았어 히히 노래 좋고 콘셉트 너무 좋다,0
250,너무 예뻐소 미 언니,
251,너무 이쁘다,
252,먼 가우리나라 대중가요랑 전혀 안 맞는 느낌이 차라리 미국 이런 쪽 알아보는 게 더 빠를 듯,
253,소미 너무 말랐다 ㅠ 건강하자 ㅠㅠ,0
254,노래 개 좋다네모리 꼭대기에서 춤처 ㅓ덤덤 계속 맴돔 얏 호 너무 좋아,0
255,뮤비 한 번만 보고 그냥 노래만 듣는데 소미언냐 너무 예뻐서 벌써 세 번째 보는 중진짜 하이틴 그 자체 야 너무 예뻐,0
256,꺅하이틴 느낌 대박,
257,ㅠㅠ2,
258,더 말라 보임,
259,맙소사 그녀를 너무 사랑해 그녀가 돌아와서 기뻐 33,0
260,하이스쿨 뮤지컬에 나온 그 퀸카 금발 여자 같애 넘찰떡 이야다이어트도 엄청빡세게 한 것 같은데 고생했다 넘 예뻐,
261,소미 너무 이뻐,
262,와 너무 이쁘고 노래 찰떡,
263,이번 노래뮤비는 하이틴 느낌나서 좋다 바로 벅스 플레이 리스트에 넣기,0
264,노래 좋구 안 무 좋구 음색 좋구랩 좋구 소미 너무 예쁘고 섹시하고 귀엽고 상큼하고 다 좋은데 안 그래도 말랐는데 너무 뺐엉ㅠㅠ 허리가 한 줌 이야 ㅠㅠ 와이쥐는 블핑도 그렇고 죄다 허리가 19인치야,0
265,하이번에 가자,
266,짜틴은 국탑이,
267,금발하니까 진짜 바비 인형인 줄 너무 이 뻐소미야근데다이어트 엄청 열심히 해서 살 너무 많이 뺀 것 같아 속상하네ㅠㅠ 몸만 아프지 말자ㅠㅠ,0
268,00 바비 인형은 금발 때문에 얼굴 외모로만 말한 거에요,
269,살빼지 말라면서 바비 인형을 칭찬으로 쓰니까 소미가 그러는 거 아닐까요,
270,하보컬 스타일만 바꾸면 듣기 진짜 좋을 텐데,
271,저번까지 도곡이 안 맞았나 봄 이번은 완전찰떡인데 노래도 좋고 퍼포먼스도 너무 좋음 피나는 노력을 했나 봄,0
272,전소미왜케 예쁨ㅠㅠ 금 발찰떡이네,
273,와아소 미만에 노래 다ㅠㅠ에 블린도 너무 귀엽당ㅠㅠ 노래 너무 좋앙 ㅠㅠ,
274,수용 하난 잘하는 듯이번엔 팬들이 원하던 하이틴도 해주고,
275,박채영,
276,박채영,
277,남자 모델 분 이동욱 카이처럼 생겼다 ㅋㅋㅋㅋㅋ,
278,와대박,
279,일루미나리,
280,솜솜 화이팅,
281,저랗게 출연자 많은데 코로 나무 증상은 어쩌고,
282,불붙었다가 터져주기 전에 비와서 꺼지는 느낌 늘 그래왔는데 이번엔 특히 그러네 너무 아쉬워,0
283,노래도 척척 춤도 척척 랩도 척척 잘하는 우리 솜솜 언니,0
284,세상에 다 진짜 저렇게 메이크업까지 하니까 진짜 금발로 자란 것 같음소미 노래도 좋고 예쁘다,0
285,회사 언제 옴김,
286,멋있어,
287,확실히 외국 피가 섞여서 그런 지 금 발찰떡 인 수준이 아니라 알아서 머리가 금발로 자라야 할 수준이 네 존 나이쁨바비 인형 같아,0
288,너무 너 무너무 사랑해,
289,화장 왜 무섭게 했어,
290,이 곡의 단점은 짧다는 거다,0
291,아드디어 소속사가 컨셉을 잘 잡았구나 보기 좋아 눈물겹다 꽃길만 걸어 소미,0
292,가사 너무 퇴보적임ㅠㅠㅠㅠㅠ소미가 너무 희생되는 듯,
293,하진짜 뮤비도 맘에 들고 옷도 맘에 들고 노래도 맘에 들고 진짜 꽃길만 걸어 소미,
294,휘리릭 소미 자체는 태어날 때부터 예뻤지 요첫 앨범 때는 곡 좋았는데 꿀타래 옷 만큼은 안 입혔으면 하는 마음과 아쉬움이 커서 담은 댓글이랍니다,0
295,항상 예쁘고 괜찮았는데,
296,소미는 진짜 전설이다,
297,와 계속 하이틴 해달라고 했는데 진짜 제대로 된 하이틴 컨셉으로 나왔네 ㅠㅠ 너무 좋다 ㅠㅠ 많이 기다린 보람이 있는 듯 무대도 넘기대된 다소 미화이팅,0
298,살이 엄청 빠진 거 같아 여ㅜㅜ,
299,아이구 예쁘다,
300,아니 왜 케짧아 너무 아쉽잖아,0
301,이게 좋다고,
302,전소 미 너무 예쁘 다소미 내일 스튜디오 춤도 나온데요,0
303,소미이이이ㅏ아아ㅑㅑㅜㅠㅠㅜㅠㅠ오랜만 이야솜,
304,로제 같아 보이네,
305,소미가 나왔다,
306,난진 자루소미더 더 더 더 더 잘됐으면 좋겠당 덤덤 뮤비 진짜 공들인 티가 난당,0
307,뮤비 잘 만들었어요,
308,얘는 능력도 없는데 되게 띄어주 네ㅋㅋ,
309,확실해 ㅋㅋㅋ,
310,능력이 되니까 소속사들에서 러브콜이 오는 건데요 ㅋㅋ 제대로 된 서포트도 홍보도 없이 나와서 자기 능력으로 기록 세우고 있는데 혼자 뭐 하시죠ㅋ,
311,저는 블랙 핑크 때문에 왔습니다 그리고 음악이 너무 좋았어요,
312,한글 찾기 힘들다 아아아아아ㅏ,
313,한글 여기요,
314,전소미는 진짜 천재다,
315,전소 미 미쳤네도 랏 네 너무 멋있음 와 미쳤다 미쳤어도 랏다 너무 멋있어와와 지금 몇 번째 보는지 모르겠음소미야 프로듀스 101부터 아니식스틴부터 그전 앨범까지 애기였는데 언제 이렇게 멋있게 큰 거야 이모는 적응 중이다 무대 빨리 보고 싶음 미쳤다 진짜,0
316,왜 무대 안 올라요무대 오르면 겁나인 기오를 거 같은 데,0
317,지진짜 요씨바류 ㅠ럼들 ㅠㅠ 무대서면 겁나예쁠 거 같은데 첫 무대를 화려하게 못하다니 ㅠㅠ 아쉽다,
318,올림픽 기간이라 음방도 쉬고 ㅠㅠ 흐흑,
319,미쳤다,
320,아니 벌써 흥얼거리고 있음 ㅋㅋㅋ,0
321,이게 무슨 가슴 쿵쾅ㅜ 뛰게 하는 뮤비인가 ㅠㅠㅡㅡㅡㅠㅠㅠㅠㅠ,
322,소미 언니 사랑해요,
323,존 나이쁘다,
324,한국에선 소미만 할 수 있는 컨셉이 네ㅋㅋㅋㅋ,0
325,앞으로 하이틴은 전소 미다,
326,분위기 컨셉 다 좋은데가 사왜 그래ㅠㅠㅠㅠㅠㅠㅠㅠ 난연약하고 널위해 내숭떤다는 게 00년대가 사같음,0
327,한국인들 디지털문해력 딸린다는 증거 1,
328,혼자인데 뭔가 이 리조 잡해 보이지 미국 하이틴 느낌 내러고 한 거 같은데 뭔가 소미만 이 쁘고 공감 1도 안 되네,
329,이것저것 집어넣다 보니 이렇게 되듯,
330,진짜 존나 좋음 뮤비 오십번 본득,0
331,드디어 소미한 테 딱 맞는 하이틴 ㅠㅠ 진짜 계속 보고 있음 너무 이 뻐ㅠㅠㅠ,0
332,와 음색 진짜 좋아,0
333,가사 진심 왜 이래,
334,39ㅋㅋ,
335,아메리칸 하이틴 끝판왕소미ㅠㅠㅠㅠㅠ,
336,중독성 오진다,0
337,요즘 스타일로 잘 뽑았다,0
338,하이틴보는 것 같아서 계속 들어오게 된다 진짜 뮤비 맛집스,0
339,오조오 억 년기다렸어 누나 ㅠㅠ,
340,블핑 뒤를 이으려나 빌보드가 자소미야프듀 때부터 응원했는데 솔로곡 중에 젤 반응 좋은 거 같아서 뿌듯하당 뮤비퀄은 젤루 좋넹,0
341,왤케정이안 가냐 살 너무뺌,
342,어머나 엄청난 하이틴 갬성이잖아,
343,블핑 감성이네,
344,아리아나 그란데랑 두 아리파 섞어 놓은 느낌,
345,한국 댓글 좀 보고 싶은데,
346,와 조회수이거 가능해 1일 만에 1177만회라니,
347,프메일 루미나티오 컬트적 요소를 넣으면 걔들이 조회수 올려줌,
348,헐고 새 1201만회됨,
349,테디는 가사 쓸 때 시대 상황이란 걸 모르나 2021년에 여성 솔로가수가 좋아하는 남자에게 잘 보이기 위해 청초해 보이고 여리 여리해 보이고 싶으며 그런 여자가 되서 남자를 가지고 싶다는 노랠 부른다는 게 말이 되는 가소미의 컨셉과 코디뮤비스타일링 곡의 퀄리티 완별개로 시대 착오적인 가사가 매우 아쉽다 조금 더 신중히 가사를 썼어야 했다 특히나 페미니즘리부트 이후 여성 아이돌들의 노래가사 또한 꽤 진취적이고 자립적으로 변화한 지금은 더욱 말이 다 같은 소속사 제니가 부른 빛 이 나는 솔로 2019년 가사보다 퇴화했다 누군가는 이걸 지적해야만 한다 하지만 아티스트 전소 미의 멋진 노래 행보는 매우 응원 프듀 때부터 늘 응원한다간만의 신곡에 매우 기뻤 다 파이팅,
350,완전 공감합니다ㅠㅠㅠㅠㅠ 처음부터 끝까지 고개 끄덕이며 읽었어요 테디가 꼭 이 댓글을 봤으면 좋겠네요 가사보다 가기절,0
351,뮤비가 하이틴 그 자체 뮤비 보면서 노래들으면 진짜 하이틴 한편 뚝딱임,
352,살 너무 많이 빼서 아쉽네ㅡㅡ 볼 살다 어디 갔어 ㅜㅜ,
353,에이핑크덤더럼,
354,이 노래는 킬포는 휘파람이네,
355,소미님 노래 너무 좋아요나는 그것을 듣는 것에 중독되어 있습니다,0
356,반응장난 아니다 이러다소 미빌보드 가겠다 ㅋㅋ,
357,코,
358,ㅇㄴ이번 컨셉 ㄹㅈㄷ 임ㄹㅇ 개 ㅇㅈㄱㅈㄹㄱㅇㅍㄱ 임ㄹㅇ 너무 좋아,
359,헐뮤비 완전하이틴 느낌 개 좋음 노래 너무 좋아 ㅋㅋㅋㅋㅋㅋㅋ,
360,덤덤덤덤덤덤응,
361,존 예롭,
362,전소미이쁜 데가사가 이 무슨 시대를 역행하니,
