comments,sentiment
"ㅋㅋㅋㅋㅋ이종석 찐따지ㅋㅋㅋㅋㅋ저중에 인지도낮은 이유는., .. ㅋㅋㅋㅋ",1
야~~ㅋ  잘생가것도 아닌 어정쩡하게생긴것들이  꼴깞떠네 ㅋ,1
송중기 이렇게 심한데 다들 그만 좀 빨아라 진짜,1
이종석은 잇몸보일때부터 극혐임,1
여기는 페미방이네.,1
사람들이 진짜 병신인게 6분도 안되는 영상을 보고 남 함부로 인성 평가하는게 존나 한심하다 그러니 연예인들이 우울증 걸려서 쉽게 자살하지 개같은 악플러들,1
"ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 연예인 까는게 인생의 낙이지? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 병신들,, 느그들이 아무리 익명으로 별의 별 지랄을 해도 연예인들은 느그들 보다 훨씬 돈 잘벌고 잘 산다 ~",1
송중기는 입열면 확깬다는말이  맞는듯,1
이종석 저건 멋도 아닌게 스타병 애지간히 걸려서...연기를 기가 막히게 잘하나...머야 대체,1
갠적으로 이컨텐츠를 확인한 이후로   송중기는 개 쓰레기.로 인식 하겠습니다<br>자...이글에  달리는 댓글 가관이겠지?. ㅋㅋㅋ.<br>물고기 낚시도 이보다는 쉬울거야.ㅋㅋㅋ,1
말투 꽃같넼ㅋㅋ,1
섹스는 죄가 아닙니다.,1
우욱씹덕아 니 배우가 여우라 빡침?,1
송중기십새야 넌 유준상 마누라 홍은희가 이상형이라매 공무원 교사 공기업 교직원 신의직장,1
뭐지 저 병신은,1
이종석 개객기네 이거 말라깽이시불탱,1
으 𝙅𝙊𝙉𝙉𝘼 얄미워,1
공유 쓰레기로 유명한대요,1
"박보영 하지원 님 젤 이쁨.이종석 송중기 뭐지?지네가 잘낫다고 생각하면 안되는데.,더 잘난 연예인들 많구만.그리고 내가 좋아하는 예쁜 하지원님 에 대해 재수없게 햇네.부웅다닥신.ㅋ",1
뭐 이래도 빈센조에서 빨아주는데 ㅋㅋㅋ 잘생기고 이쁘면 인성논란 나와도 끝내는 빨아준다,1
송중기 보통아니네..이종석은원래 밥맛없어,1
또 약장사 유튜버영상보고 냄비끓듯이 여론이 형성되네 ㅋㅋㅋ으이그 철없는 빡대가리애새끼들,1
먼 개소리냐 잘해줘도 지랄 못해주면 매너없다 이거아니냐,1
앞으로 이종석 송중기는 걸러라,1
송중기 개쓰레기네. 이거 보니 이혼 사유는 이 놈에게 있었을수도... 헐....,1
송중기 왜저래 쪽팔려서 못보겠다...진짜 남배우든 남돌이든 잘생겼다고 빨아주면 저꼴 나는것 같음,1
이종석 ㅋ ㅋ얼굴 다뜯어고치고 ㅋ ㅋ존나 웃기네 ㅋ ㅋ 이종석 성형전 사진봐라 ㅋ ㅋ 코빅이다,1
ㅡㅡ준기야 그러지말자 종석이도 ㅡㅡ인물은 인정해줄게 ㅡㅡ작작 껄떡이자,1
서예지랑 둘이 만나라 그냥 제발 여우는 여우끼리 만나서 오래 행복하게살다 뒤저라,1
아니 요즘 왜이리 뻑까같은새기들이 많지..?,1
두 남자 다 생긴대로 노는듯,1
싸기지없네 .... 송중기,1
이야 송중기 예의 안드로메다로 이종석은 미췬..,1
진짜 씨ㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇ발사끼네,1
이종석 싸이코패슨가보다....몰랐는데,1
이종석은 저렇게 개념없이 말했는데 왜 비호감 이미지 아님?ㅋㅋㅋㅋ 존나 어이없네,1
송중기<br>ㅂㄹ 눈알이 별로임,1
육준서 에이전트h 이근 이런애들보면 존나 근본있고 배울점많은데 연예인은 대부분 몸팔던애들이 데뷔하는경우 많잖음 bj도 똑같은애들이고 다 그수준인 인간과 팬들이다 연예인 좋아하는 여자는 무조건 거름,1
연예인같은 시답잖은 애들 팬질하는 팬도 그나물에 그밥이다 요즘 대세가 나라지키는 국방관련 존잘들인데 연예인같은 근본없는 딴따라새이들 좋아한다 = 졸라 별볼일없는 막장인생 이거팩트,1
얘들 웃기네ㅋㅋㅋ 기집애마냥,1
아 듣기만해도 꼴비기싫넼ㅋㅋㅋㅋㅋ,1
이작가 졵나섹시해,1
송중기 진짜 별로다ㅜ 특히 송혜교와의 이혼과정에서 보여준 잔인함과 찌질함이란.. 여기 나와있는 여우짓정도는 거기에비하면 약과죠ㄷㄷ,1
그거 유튜브에 영상있음ㅋㅋㅋ 존나 정색하던데ㅋㅋ 일본 양아치처럼 생겨가지고,1
확실한거 아니면 좀 ㄷㅊ셈,1
송중기 역겹네,1
하나를보면열을안다고 송중기인성 거지같이생겼잖아 ㅋ ㅋ,1
둘 다 관종이네.,1
송중기 ptsd인가 그런걸로 의심갈정도...,1
이런애들이성혜교 찌라시루머는맞다고할거야 ㅋㅋ ㅋㅋ이즁성 오지게 니네오빠는 짜집기,1
닭 공주 - 최 순실 - 정 윤회 - 왜구 - 쥐 박이 - 개독<br><br>딴 따라 - 쓰레 기 는 2021 코로 나 시대 에 전혀 맞지 않다.,1
아이유가 상여유잖아. 이미지 세탁 잘했지. 5년 전후로,1
인성까보니 꼴 뵈기 싫어지네,1
마녀사냥좀 그만해라 찐따들아 ㅋㅋ,1
진짜 ㅈㄴ 시룸,1
동료 배우들 패고 다니는 송강호 보이네 ㅋㅋㅋㅋ 지가 노무현이라고 착각함 ㅋㅋㅋㅋ,1
그배우에 그팬ㅉㅉ 한심하다,1
이종석은 못생겼는데도 좋아라 하는 사람많네,1
님 틀딱같아욥 요즘 남자애들도 엄마아빠한테 관심가는거 그런 행동으로 표현하면 안된다고 가르침받는데 ㅋㅋ 하물며 성인이?,1
왜저래;송중기 하는짓극혐,1
송중기랑 두번째애 솔직히<br>과대포장상품이고 B급이잖아  연예인이라고<br>가오잡지만 상품이잖아<br>결론은,1
"으~ 송중기 존싫,,",1
송중기 여자겁나 후리고다녓네 ㅋ,1
이종석 송중기 딱봐도 끼 ㅈㄴ부리잖아 으,1
송중기도 문제지만 빠순이들도 역겹네 ㅋㅋㅋㅋㅋ,1
아 ㅅㅂㅋㅋㅋ잘생겨도 저렇게 끼부리는 제스쳐는 꼴보기싫어,1
송중기는 딱봐도 왕자병스타일이던데?,1
송중기 충격이네 이종석도 그렇고 ㅋ<br>남자여우들은 상종하지 말아야함<br>재수없음ㅋ,1
송중기 겪어보면 진짜.....ㅈㄴ 여우란 걸 알텐데....<br>그걸 모르고 있는 대중들이 많다는 게 답답하다<br>상여우인데 곰인 척 하는 인간<br>할말 많은데 말하면 누군지 알까봐 참는다ㅡㅡ<br>진짜속지마라,1
송혜교가 더한 여우련인데 뭐가 불쌍함,1
송중기 이종석 둘다 못생겨서  글고  왠지 싫다했더니 다 이유가 있었네,1
송중기 이종석 둘다 왜 그래? 극혐이네,1
이딴 자극적인거 올리는거만 봐도 수준나오네 ㅋㅋ 면상깔 자신없어서 얼굴가리고 ㄹㅇ불쌍한 인생 산다 에효 ㅋ 댓글들도 다 맷퇘지 페미들이네 쿰척쿰척 냄새난다,1
송중기 인기 많다고 왕자병 관종병 심하네 배려심 존나 없고 얼굴이 멋지면 뭐 해 뇌가 무개념인데 ㅉㅉ,1
댓글 가관이네 ㅅ팔ㅋㅋ약간 루저들 모임인가?,1
이종석 인성쓰레기로 유명하죠,1
닥쳐,1
변기유천사건때 그날 그사건때 전현무랑 송중기 그가게에잇엇다는거 알사람은 아는데 그가게에서 다벗고 놀고잇엇다는거ㅋㅋㄱㄱ 시발~~~세상이그렇다 진실은 언제나 산넘어에 어줍짢게가려져잇지 나같은 사람이말하는거 아무도믿지도않겟지?  그리고..  송중기.  나다니는 병원와서협찬해달라고 말햇던거 쌤이말해준적도잇엇고ㅋㅋ피부과ㅋㅋ자기유명해질건데 돈안내면안되냐고ㅋㅋㅓㆍ이건존나옛날얘기지만..싹수가노란..인간인거...나송혜교왜욕먹는지 진짜 노이해 송중기 진짜 비열한 인간임남자답지못한인간,1
"난 송중기보다 정윤호가 더싫어ㅡㅡ<br>진짜 막말,,입만열면 존나깸,, 입조심했으면 좋겠다싶은 연예인.<br>걔가 한 말 때문에 상처많이받음. 진짜 실제로보면 싸대기 쭉빵날리고 싶음.<br>진짜 밉상대마왕:정윤호,정용화.",1
으 극혐 극혐 극혐 극혐,1
"송중기, 이종석 시발들아 송혜교랑 이혼하고 이보영이랑 이혼하고 예쁜여자는 니들이 다 차지하려고 하냐",1
송중기딱봐도 존쎄인데,1
궁딩이까고노는사람이취향이신가봐요ㅋㅋ,1
이종석은 끼가 아니고 똘낀데?,1
이종석은 인성 쓰레기인걸로 유명하지,1
이종석 존나 개싫어ㅡㅡ 얼굴값이아니라 꼴값이야,1
사진몇장으로 짜맞추기해서 개소리 지껄이는 영상이네 ㅉㅉ 캬악~~~~~~~~~~퉤~!,1
개싫다,1
유튭이리 어짜피 힘들어서 막 싸지르는듯,1
송중기 존나 깬다,1
진짜 남자없으면 못사는 여우는송혜교 이보영아닌가.이둘도 만만치않아 이런짜집기 영상은 송중기가 억울할거같은데. 이혼후 송혜교말많으니 송중기여론 안좋게하려는 송혜교소속사의 언플이 느껴짐.,1
"송중기는 그냥 끼부리는데, 이종석은 팬덤 대결하면 개쳐발릴 대형스타한테 씨비를 거네",1
여기 돼지육수찐따들 많네...판녀들인가,1
송중기 싸가지만 없는 줄 알았는데 무개념. 그래서 글로벌 넘사벽 끼부림녀 송혜교한테도 끼부리고 결혼했다가 된통 당함. 꺽따리 삐삐 이종석은 왜 인기가 있는지 납득 불가. 한국은 키만 크면 장땡이,1
이종석ㅋㅋ 어정쩡한 애가 떠서 ㅋㅋ,1
아니 말투 존나 아저씨 느낌와서 개웃기네ㅋㅋㅋㅋㅋ 아 그리고 반박 못하니까 중국인 이지랄 하지말자ㅋㅋ,1
그냥 종석이가 좋다그래<br>빠순아ㅋㅋㅋ 제발ᆢ 착한척 그만하고<br>중국인 티 그만 쉬잇 더럽게 논다 진심ㅋㅋ,1
누가봐도 종석 옹호 글<br>더러워 너ᆢㅠ 너무 더러워<br>걍 너네 세상에서 찌질하게 살아줘<br>중국인 티내지말구,1
태양의 후예 나올때만해도 송중기 좋다며 꺅꺅 소리지른던 것들이 지금 송중기 까는거보면 진짜 소름끼치고 역겹다 이러다 송중기 드라마로 빵터지면 좋다고 ㅈㄹ하겠지,1
송중기. 너무 싫어.,1
그냥송중기가싫은거아냐 이년아,1
애매하게 생긴 애들이 잘생겼다고 빨리니까 시도 때도 없이 저러면 설렐줄 아나보네ㅋㅋㅋ 응~ 진짜 잘생긴 애들은 그런 짓 안해도 알아서 빨려~ㅋㅋㅋㅋ,1
이종석은 인성부터 문제있다고 소문나있죠,1
송중기도 송혜교랑 비슷한 인성 수쥰 ㅋㅋ,1
송중기는 볼수록 매력이 없음,1
ㅅL과ㅌłㅂł 보면 내 버섯이 팽이버섯에서 새송이버섯으로 변신함 진짜 오른손도 요새 헐크로 변신중 하루에 13ㄸ 치니까,1
ㅅŁ과ㅌłㅂł BJ들은 다른방송 BJ들이랑 비교하면 걍 압승임 ;; 외모 몸매 수위 3박자가 씹오지는데 왜 안봄 ;;,1
ㅅĿ과ㅌłㅂł 친구랑보는데 발기안되기 배틀뜨다가 3전3무뜸 진짜 방송 시작하자마자 바로섯다 .. 아 힘들다 ..,1
사과ㅌłㅂł 여캠BJ들 한번씩 피버타임때 ㅂㅈ도 보여주는데 애들 진짜 미쳤음 .. 너무야하다 좀 보기 민망하네,1
ㅅr과ㅌłㅂł 마약보다 중독성 더쩌는듯 헤어나올수없다 한번 빠지면 여자애들 방송 끌때까지 하루에 12딸 가능,1
ㅅĿ과ㅌłㅂł 친구랑보는데 발기안되기 배틀뜨다가 3전3무뜸 진짜 방송 시작하자마자 바로섯다 .. 아 힘들다 ..,1
ㅅr과ㅌłㅂł 마약보다 중독성 더쩌는듯 헤어나올수없다 한번 빠지면 여자애들 방송 끌때까지 하루에 12딸 가능,1
ㅅレ과ㅌłㅂł 알고나서는 섹ㅅ에 흥미가없어짐 .. 나혼자 좋은거보면서 하면되는데 왜 돈아깝게 돈쓰고 모텔감?,1
ㅅㅏ고Γ티ŀ비 보면 물티슈 휴지 각티슈 다있어야됨 진짜 존슨에서 물이 흐른다 흘러 ..,1
ㅅL고Γ티ŀ비 수위 진짜 ㅁㅊㄷ 너무높아서 존슨이 막 성내고있다 내 존슨 책임져,1
이종석 싫다 내 전남친 닮아서 볼때마다 생각남 알고리즘 극혐이네,1
이혼남 하는 짓꺼리 봐ㅋㅋㅋ,1
송중기는 입 열면 확 깨더라. 시사회도 나오지말고 인터뷰도 하지말고 그냥 연기만해라.,1
진짜 저때 송중기 미친ㄴ인줄 알았슴...,1
둘 다 좆같아 적당히 해야지,1
송중기 원래 옛날부터 말할 때 깨는 거 한둘 아니었음... 그래서 이혼 소식 들렸을 때 다 ㅅㅎㄱ 욕할 때 난 속으로 송중기 성질도 한몫했겠다 혼자 생각했었다<br>이혼하고 힘들어하겠다 위로하는 댓글 많던데 정작 며칠뒤에 남녀 섞여서 술자리 사진까지 웃으며 올라오던데 ㅋㅋ,1
송혜교 송준기 둘다 비호감,1
극혐...,1
이종석 배우 아니였으며 또라이 취급받았을듯~그 착한 박보영이 첫만남에 내손을 무는 행동을 해서 너무 당황했는데 그게 애정표현이라고 해서 그려러니 했다고 하는데~정신병자지 그게 무슨~직업이 배우든 무엇이든 일로 만난 사이고 보통 직장에서 첫만남 여직원한테 애정표현이라고 손 깨물며 성추행+정신병으로 바로 경찰서 감,1
아니 이보영도 물고 지가 무슨 개야?ㅋㅋ 진짜 개또라이ㅋㅋ,1
ㅁ. ㅊ,1
사람 매장시키는 채널로 먹고 사는ㅋ<br>너 잘못 걸리면 철컹철컬 할 거 같아 작작 해 먹어<br>니 말도 믿기엔 찌라시 냄새가 너무 나ㅋ,1
니는 그냥 남혐하는 꼴페미고ㅋㅋ,1
저저 여우새끼ㅋㅋㅋㅋㅋㅋㅋ 극혐이다 송중기,1
ㅋㅋㅋㅋㅋㅋㅋ 여기 댓글들 죄다 지들이 송중기 이종석같은 사람중에 고를수있는것처럼<br>아 나는 너같은 스타일 시렁<br>이지랄하고있네 ㅋㅋㅋㅋㅋㅋ,1
으.. 이때다 싶어 여자들 달려드는거 보소 ㅋㅋ 역겹다 ㅋㅋㅋ 딱봐도 몸무게 보인다 ㅋㅋㅋ,1
딱 연기만 해야할 스타일임.. 예능은 당연하고 하다못해 비하인드 영상에서도 좀 긴거는 중간중간 성격이 보임.. 문제는 비주얼이 박성웅 같은 st이면 그래도 성격이랑 간극이 없어서 괜찮은데 비주얼은 겁나 순둥인데 성격은 완전 반대라서 그게 탈덕포인트,1
진짜 그놈의 카더라 카더라ㅋㅋㅋ 짜집기한 것만 보고 온갖 궁예질 붙여다가 나불나불거리는 거 존나 역겹다 진짜,1
그거랑 뭔 상관임? 니 논리면 넌 누구한테도 욕 하마디 인하고 죽닥치고 있어야될텐데 🙄,1
송중기 지가 뭐라도된줄알아 ㅋㅋㅋㅋ 개극혐,1
여자는 아무리 못생겨도 20대때까지는 기본 매력은 있거든? 그런데 대부분 왜 연애를 못하거나 흐지부지 하냐면 이런 마인드 때문이다. 적극적으로 꾸미고 운동하고 좋아하는 남자 있으면 여우짓 하고 끼부리고 그러고 그리고 남자가 대시하면 아주 하자 아니면 웬만하면 받아들여라. 여자의 전성기는 20대 꺾일때까지고 이후로는 인생 쭉 하락세다. 고르고 골라서 나중에 좋은남자 만나야지 하다간 청춘 다 가고 그때부턴 눈물의 나날들이다. 그리고 여자들끼리 어울리지마라. 남자도 마찬가지 남자끼리 우우 몰려 다니지마라. 여자끼리 다녀봐야 별 쓸데없는 사상만 머리에 주입되고 무엇보다 남자가 접근하기 힘들다. 결국 여자끼리 우정우정 별 쓸데없는 자기위안이나 계속하다가 정신차려보면 어느새 나이는 30대가 되어있는게 대부분 여자들의 인생이야. <br>한줄요약: 정신차려라.,1
그리고 여자도 여우짓하느니 끼부리느니 전형적인 여자의 적은 여자 이런 스타일... 그럼 여자가 남자 꼬시려고 끼부리는게 당연하지 그건 또 뭐가 잘못됐는데? 그럼 어떻게 하란 말이냐? 여자가 남자가 맘에 들어도 근엄하게 굳은 표정으로 가만히 있으란 말이냐? 그럼 남자가 여자가 관심이 있는지 없는지 어떻게 알아? 여자가 먼저 대시는 못해도 어느 정도 신호는 줘야 남자가 대시를 하지 아무런 신호도 안주면 남자도 위험 부담이 있기 때문에 거의 대시를 안한다. 여자들이 대부분 그런 사고방식이기때문에 연애를 못하는거야. 좋아하는 남자 있으면 신호를 보내라. 니가 가만히 있고 접근하면 튕기도 튕겨도 지칠줄 모르고 달려들어서 너를 쟁취하는 그런 남자는 드라마에만 나온다.,1
"참 전에부터 볼때마다 느끼는건데 이 이작간가 하는 양반 문제가 많네... 대체 얼굴은 왜 안까는지 그것부터 궁금하며(우파 유튜버들은 사회적으로 불이익을 받을 수 있으니까 그렇다지만 당신은 대체 왜?) 끼부린다는 말이 남자한테 적합한 표현인가? 그리고 하는 작품마다 여자 꼬실수도 있지. 여자 꼬시는게 뭐 잘못됐냐? 그리고 사실 여자들은 남자들이 꼬셔주기를 기다리고 있는거 아닌가? 특히나 우리나라 여자들은 먼저 대시 거의 안하기 때문에 좋아해도 남자가 대시해주길 기다리잖아? 그럼 저렇게 이 여자 저 여자 꼬시는 남자 있으면 오히려 고마운거 아닌가? 대시해도 뭐 싫으면 퇴짜놓으면 그만이고... 대체 무슨 생각으로 이런 동영상을 만들었는지 이해할 수가 없네. 아, 아니면 설마 남자 연예인은 사랑해주는 팬들을 위해서 평생 혼자 늙어가야 한다 그런 마인드인가? 설마 그건 아니겠지.",1
박보영 팬인데 내가 ㅈ같아 ㅠㅠ,1
이종석이 누구임? 듣보잡임?,1
송중기 한물간지 오래 아닌가 이 영상 보니까 개빡치네,1
고시원에 편가르기하는 그여자 때문에 스트레스 받네요 아주미친년 이에요<br>남자한테는 친절 ㅋㅋㅋ<br>여자는 쳇 거림<br>거기에 같이껴서 욕하고 같이 편가르고<br>내가싫어하는 행돗 고의적으로 하고 어떻해야 하나요 또라이인듯,1
송중기 ㅈㄴ민폐남이네,1
여자보고 어렵다고 하는 놈들 치고 변태새끼 아닌 놈들 없더라,1
