,comments,sentiment
45,이 정도 결혼생활은 판타지 아니였나요 ㅋㅋㅋ 보면서 웃음이 나오는 사랑스러운 부부네요 ㅋㅋ,0.0
46,전형적인 사기꾼이네,0.0
47,처음부터 작정하고 사기 친 거네 여자분이 너무 착해서 당하신 듯,0.0
48,죄지은 만큼 벌 받습니다 힘내시고 세상 둘도 없는 딸을 위해서라도 열심히 사세요길에 떨어진 똥 밟았다 생각하고 툴 툴 털고 그 짐승보다 못한 것 빨리 잊어버리세요,0.0
49,신상공개 하고 처벌해야지 말도 안 된다 정신이 글렀네 여 자랑 아이는 무슨 죄인지 가슴 아프다,0.0
50,어찌 쓰레기 사기꾼 만난지,0.0
51,딸을 2억 하고 바꾸냐 딸 아들 하나씩 키우고 있는데 사람이면 신장을 팔아서라도 애들은 지키 것다,0.0
52,인생이,0.0
53,어린 딸 봐서 힘내세요 아픈 마음 잘 압니다,0.0
54,살다 보니 알겠더라 뭐가 잘못 땐 건지 돈 애기 하는 사람 치고 제 되로 된 인간 없다는 걸 이렇게 당한 건 어떻게 할 수 없지만 이런 계기로 조심하고 잘 사시길 바랍니다,0.0
55,와 이게 무슨 드라마 같은 일이 진짜 천벌 받을 놈 여자분 자꾸 우는데 마음 찢어진다,0.0
56,결혼할 때 동거도 마찬가지 그 남자 집 가 보고 부모 만나보고 형제도 만나봐야지 집안 보는 게 얼마나 중요한데,0.0
57,이런 일 겪게 되서 잊으시는 거 많이 힘들겠지만 저런 사람 하루 빨리 잊어버리시고 앞으로는 딸이랑 같이 행복하게 사는 거만 생각하시고 좋은 날 꼭 언제 간 올 거예요 그러니 기운 내시고 이제 사람 한 태 상처받지 않게 행복하게 살았으면 좋겠네요 ㅠㅠ,0.0
58,열 달 동안 배 아파서 낳았는데 후,0.0
59,저런 늠한테 눈물이 아깝네요 아이를 생각해서 힘내셔야겠어요,0.0
60,나도 저런 선택을 했을 듯,0.0
61,그 집 가족 모두 사기꾼 집안 임 자식이 동생이 그러구 잇는 거 누구보다 잘 알 텐데 어떻게 저런 태도로 나올까 정말 악질 중 악질을 만난 듯 싶네 여 사람 보이는 게 다가 아닌데 딱 해서 할 말을 잃네 여ㅡㅜ,0.0
62,백마탄 환자네,0.0
63,와 한 바탕 하고 갔네 양심이 있으면 애는 만 들면 안 되지,0.0
64,자업자득 욕심이 탓이 다 자기 주제를 모르고 겉만 화르르 허세부리다 망한 거네,0.0
65,요즘 누가 남자 말만 믿고 부자 다 잘 사나보다 해요 좀 많이 알아보고 하시지 ㅠ ㅠ,0.0
66,근데 참 아무것도 모르고 그저 재력에 눈 멀어서 결혼한 여자도 한심,0.0
67,이런 사람 얼굴 공개 좀 했으면 좋겠어요 얼굴이 안 나와서 어디 가 서 또 사기치고 있으니까요,0.0
68,근데 어떻게 대기업 계열사 사장 집안 그리고 금융업계 부장이라는 걸 확인 한 번 안 해보고 결혼이 가능함 아니 이게 막 따로 알아보라는 게 아니라 결혼식장에서라도 알 수 있는 거 아님,0.0
69,번드르르 허세만 남발하는 사람은 의심을 했어야 하는 거 아닌가 세상엔 공짜가 없죠,0.0
70,이렇게 또 한 발자국 결혼과 멀어집니다 ㅋㅋㅋㅋ,0.0
71,여자 제대로 뒷통수쳤구나 생명까지 있는데 어떻게 살라구,0.0
72,엄마가 건물주라고 하지 않았나 그것도 거짓말인가,0.0
73,많은 여자들이 이걸 꼭 시청해야 된다,0.0
74,얼굴 공개해줘라,0.0
75,와 세상에 이런 개 같은 경우가 ㅠㅠㅠ 피해자 분 힘내세요 미친 새 키 정상 아니네요,0.0
76,돈을 달라고 주면 안 돼 남편이라 두 힘내세요,0.0
77,한 여자의 인생을 완전히 저리도 비참하게 할 수가 있나 돈이 아무리 좋아도 저건 인간이 길 포기한 짓이다,0.0
78,진짜 소름돋네오 ㅠㅠ 하 진짜,0.0
79,노이해,0.0
80,너무 착하시다 ㅠㅠ 엄마니까 더 강해져야 해요 충분히 잘 키울 수 있어요관공소 도움 다 받으시 구 양육비 청구소송 하시구 일 두 구하세요정신 딱 차리셔야 합니다,0.0
81,저건 인간도 아니다 사패라는 말도 아깝네 미친 욕도 아깝다 저 여인이 너무 안쓰럽다,0.0
82,잡긴 잡앗 나 저건 다른 사람 인생까지 망쳤으니 그 값 까지 죄값 받길 이런 건 제 발 개한민국 개법이 안 되길,0.0
83,아니 오디 무서워서 남자랑 결횬 할 수 잇겟어 신상 조사하고 결횬들ㅠ 식상한 말이지만 ㅠ 아가을 위해서 힘내세염 더 이상 상처 받는 일 없이 어려운 상황 잘 이겨내시길,0.0
84,돈 해달라는 남자는 믿지 마세요 재수 없으면 사기 당하고 최악은 살해당해요,0.0
85,부를 과시하면서 돈 얘기 하믄 백프로 사기,0.0
86,저 이 집이 2304호인대,0.0
87,연예인이 겪었던 사건이 일반인에게도 결혼 사기가 에고,0.0
88,쓰레기구나 ㅠㅜ,0.0
89,저런 건 사형이 답이 지 살아봐야 절대 달라지지 않는다,0.0
90,애는 어뜨 카라고 진짜,0.0
91,하 가슴이 답답하네요 쓰레기 같은 인간 아이와 아이 엄마는 힘내시 구 아이만 보고 잘 사시길,0.0
92,왜 시 어머니한테 따져 당사자한테 따져야지,0.0
93,저도 요리독학으로 취미하고 싶네요 어떻게 시작하셨나요,0.0
94,007007 아이폰의 최대 단점 ㅋㅋㅋ 치다가 케 보내짐,0.0
95,베놈 쫄튀한 거 ㅈㄴ귀엽네ㅋㅋㅋㅋ,0.0
96,제발 예고편이 베놈 1처럼 영화 한 편이 아니기를,0.0
97,변신 준 내 멋있네,0.0
98,새로운 빌런 카니지랑 쉬릭 듀오 기대할 만 하군요,0.0
99,베놈은 맨날 같은 종족끼리 싸우네,0.0
100,4226226 베놈의 존재를 알고 있으니까 커플 상담 받아야 한다고 말하는 게 ㅈㄴ 웃 김ㅋㅋㅋㅋ,0.0
101,퀄리티 미쳤네 그냥,0.0
102,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 개 재밌겠누,0.0
103,카니지는 베놈과 가족관계입니다 알아두시면 좋을 것 같아서요,0.0
104,카니지 원작처럼 날 카롭고 ㅈㄴ 멋진 무기 사용하는 것 좀 많이 보여주면 좋겠네,0.0
105,저런 걸 스파이더맨이 이 길 수 있나 우리 작고 소중한 톰 홀랜드가,0.0
106,스파이더 베놈이랑도 싸우는 편 나오면 근사하겠다,0.0
107,와 카니지 잘 뽑혔네 특히 변신할 때 ㄷㄷ,0.0
108,또 시컴한 밤에서만 싸우는 건가 전편에서도 액션이 밤에만 이루어져서 안 보였는데,0.0
109,전부 잡아먹게 해줄 게 오우 예아ㅋㅋㅋㅋㅋㅋㅋ,0.0
110,2차 트레일 러 너무 잘 뽑았다 기대가 확 올라가 네 4153153 졸 귀 ㅋㅋㅋㅋㅋ 존 멋ㅋㅋㅋㅋ,0.0
111,난 이렇게 빌런을 대 놓고 보여주는 게 좋음 ㅋㅋ,0.0
112,4153153ㅋㅋㅋㅋㅋ 겁나 웃기넼ㅋㅋ 근데 또 뭔가 귀여웡ㅋㅋㅋ,0.0
113,1편처럼 다 잘라버리고 말 잘 듣는 강아지처럼 만들지 말아줘 제발,0.0
114,이반에는 제발 청불로 개봉해줘라 코믹스 맹키로 카니지 대학살 장면을 기대하고 있는데,0.0
115,볼만한 영화 생겼다는 9월,0.0
116,와 보고 개지렸다 진심 개찢엇다,0.0
117,빌런빌런을 기대했는데 베놈 콤비 왤케 유쾌해,0.0
118,1처럼 허접하게 안 만들었으면 좋겠다,0.0
119,영상 중 소리 지르는 사람이 아마 심비오트 중 하나인 스크림 아닐까라는 추측이 가네요,0.0
120,카니지 변신 소름 돋아 ㄷㄷ,0.0
121,4141141 닥터스트레인지 장면 오마주한 듯,0.0
122,같이 있으면 가족 같은 기분 든다고 하는 거 보면 베놈한테서 카니 지 태어나는 건 원작 따라가나 보넹 아까 손 뜯어 먹을 때 들어간 건가,0.0
123,카니지 ㄷㄷ 최강자 드디어 나왔다 이건 봐야지,0.0
124,베놈은 소재 너무 좋고 베놈 멋있는데 에디 캐릭터가 솔직히 에 디 캐릭만 보면 민 폐캐 찐 따캐가 따로 없어서 베놈이 아까움 ㅋㅋㄱㅋㄱㄱㅋㅋ,0.0
125,베놈 1 재밌게 봤는데 기대된다,0.0
126,베놈은 에디를 덮어씌워서 변하는 데 카니지는 몸 자체가 변하네ㄷㄷ,0.0
127,베놈 1편 정말 재밌게 본 기억이 있는데 드디어 2편이 나온다니 정말 기대 됩니다 이번에는 다양한 배우들이 나와서 그리고 스파이더맨이랑 세계관이 같아지는 거 같아서 정말 기대가 되고 꼭 보러 가 고 싶습니다 빨리 영화관에 개봉하면 좋겠습니다,0.0
128,베놈 귀엽다 카니지 무섭다고 들어갔다가 다 먹게 해준다니까 바로 나오네ㅋㅋ,0.0
129,정상수 찐 팬 찐 팬 뭐 어쩌긴요 그건 영화 작가들이 할 일이지 요 소비자의 니즈를 못 맞추면 그냥 안 보게 되는 거고 본인도 본인 취향 아닌 영화 안 보는 건 너무나도 당연한 거일 테니까,0.0
130,난 세상에 카니지가 실사화가 될지는 몰랐다,0.0
131,진심 스파이더맨급으로 기대된다,0.0
132,베놈보다 카니지가 더 쌘가요 베놈이 죽 지 않은 거 보면 그건 아닌 거 같긴 한데,0.0
133,마무리를 또 에 미넴이 해줬으면 좋겠다,0.0
134,솔직히 이건 19금으로 해야 더 재밌을 거 같긴 하다 솔직히 15세는 진짜 선 넘었음,0.0
135,아 진짜 존 나 재밌겠다,0.0
136,브금이 띵곡이 다 ㄹㅇ,0.0
137,기대가 큽니다,0.0
138,카니지 원작처럼 슬림한 비쥬얼 지리게 구현했네,0.0
139,뭔가 간질간질 따듯한 영상,0.0
140,4118118ㅅㅂ브금이랑 저 걸어 다니는 카니지 너무 잘 어울려서 소름 돋잖아 공포영화 같음,0.0
141,카니지의 마지막 대사인 에디너와 함께 있으면 마치 집에 온 느낌이야 가족처럼 은 원작에서 카니지가 베놈의 아들이 기 때문에 그것을 암시하는 거 같네요,0.0
142,아내가 먹고 싶은 요리네요 진짜 맛있겠다,0.0
143,요남님 영상 은 근 잘 때 틀어놔도 잠 잘 옴 적당한 대화와 적당한 브 금 잠 안 올 때 듣는 영상으로도 추천합니다,0.0
144,저도 잠오는 백색소음듣다가 잠 안 와 서 이 영상 봤는데 바로 잠들었어요 ㅎㅎㅎ,0.0
145,비현실적일 정도로 이상적이고 달달한 커플,0.0
146,휴 이 영상을 보고 결혼할 뻔했다 위기를 잘 넘겼어,0.0
147,이 분이 한 식 요리하면 어떤 느낌일까,0.0
148,아내 분이 자꾸 말 따라 하는 게 귀엽네요 ㅎㅎ,0.0
149,보면서 힐링되는 아내의 반응 ㅠㅠ 진짜 저렇게 이쁘게 말해주면 요리해주고 싶을 듯 ㅠㅠ,0.0
150,인정 두 분 너무나긋나긋 따뜻해서 보는 사람들 힐링로 망생기는 중,0.0
151,난 취요남님이 너무 좋은 게 항상 음식을 하고도 마자리 바로 정리하는 게 너무 보기 좋음,0.0
152,인정합니다 진짜 기분 좋아짐,0.0
153,진짜 대단하신거,0.0
154,너무 깔끔해서 보기 좋아용,0.0
155,요리 잘하는 사람 특,0.0
156,형님 새 영상 올라올 때까지 알고리즘에 갇혀서 이 전 영상들 계속 보면서 기다렸어요 잊을 만큼 늦어도 괜찮아요 늘 기다릴 테니,0.0
157,진짜 결혼 마려 운 영상,0.0
158,내 인생 롤 모델 취요남ㅋㅋ 결혼하면 요남님 영상 보고 여자친구 해주고 싶당,0.0
159,본격 배 아파하게 만드는 영상이지만 너무나 부럽 고 배우 고 싶고 그리고 계속 응원하게 되는 유튜버,0.0
160,고기국수 레시피 공개 안 되나 요 너무 해 먹고 싶은데 ㅠ,0.0
161,밥 먹을 땐 항상 형 영상 본다,0.0
162,부부가 둘 다 금손이네,0.0
163,나도 다 해줄 수 있는데 여자친구가 없네,0.0
164,853853 상상도 못한 전계,0.0
165,일회용으로 소비 안 하면 좋겠다 살아서 여러 번 나오길,0.0
166,아들 8살인데 극장 데꼬가서 못 보겠지 베놈 무지 좋아하는 데,0.0
167,카니지 역할 하는 배우 진짜 연기 잘 함 근데 보통 악역 잘 안 하는데 일회성으로 끝나지 말고 계속했으면 좋겠네요,0.0
168,무언가로 인해서 사랑하는 사람을 잃고 그 복수심으로 모두를 죽 일 계획이나 보네 카니지 와중에 멋있다,0.0
169,내 평생 카니지를 실사로 보는 날이 올 줄 이야,0.0
170,너무 갑자기 예고편을 봤더니 베놈 게임 나온 줄 ㅋㅋㅋ 근데 보다 보니 그래픽이 너무 좋더라,0.0
171,야 너무 기대되는데 ㅋㅋ,0.0
172,주연과 악역의 연기력이 그냥 미쳤네요,0.0
173,갑자기 문득 든 생각인데 영상보기 정말 좋은 것 같아 요 노래와 어울리고 영상에 빠져든 다랄까 정말 좋은 영상이네요 앞으로도 좋은 영상 많이 많이 올려 주세요,0.0
174,4145145 베놈이 카니 지나와서 당황해서 갑자기 들어가니까 에 디도 당황해서 모든 잡아먹게 해준다고 해줌 ㅋㅋㅋㅋ,0.0
175,결혼 바이럴 부부 너무 행복하게 사신다,0.0
176,머랭쳐서 만드신 육수 지금도 있는지 모르겠지만 십 년 전 양식조리 기능사 딸데 목록 중에 있던 콘소메네요 머랭치는 거진짜 짜증 내면서 쳤었는데 ㅎㅎ,0.0
177,아ㅋㅋ이 게 공익광고지 결혼 장려 영상으로 딱이네,0.0
178,형님 요리하실 때 요리한 음식 내어 주실 때 다 멋지시지만 39 비트 주세요 39 모멘트 때 저 세상 간지가 폭발하십니다 ㅠㅠ,0.0
179,뭔가 점점 칼질이 늘어나는 느낌이십니다 형님 취미를 극한까지 하면 결국 마스터를 하게 되는 거군여,0.0
180,엄청 달달 하네요 ㅠㅠ 아내 분 부럽당 ㅠ 저런 남편이 어디 있어 ㅠㅠㅠ,0.0
181,지금 보기엔 너무 아까운 영상 자기 전에 볼래,0.0
182,이번 화 제목은 아내 세끼로 하겠습니다 그런데 이 제 시즌2를 곁들인,0.0
183,독신주의자가 봐야 할 영상 1위,0.0
184,형 남편 자리는 아직 남아 있는 거자나,0.0
185,나도 먹어보고 싶다 노래도 신나고 요리하시는 모습도 멋지십니다,0.0
186,인터넷 모임 조심하시길,0.0
187,공사는 결혼까지 가 공사 래미쳤다 진짜,0.0
188,이러니 살인이 않일 어나겠냐,0.0
189,다 좋은데 유니폼이 유니끌로 보다 더하다는 데 쌍뜨 헐,0.0
190,여자 배구 아식스 배드민턴 요넥스 등 등등 그렇게 나오면 한도 끝도 없음,0.0
191,돌부처가 진짜 잘해줬지,0.0
192,9 말 1 아웃부터 보기 시작한 내가 레전드,0.0
193,백종원 형이 해설하는 줄 알았네요 ㅋㅋㅋ 이순철님 목소리 똑같음,0.0
194,이 순간을 위하여 화이팅입니다,0.0
195,14281428 정우영 캐스터 대박,0.0
196,대박이러니 미련 갖고 보게 됨ㅎㅎ,0.0
197,6팀 출전 경기에서 프로 보유국이 동메달 따서 군 면제 받는 건 좀 그러니까 금메달 따라,0.0
198,애초에 대만이나 일본 우리나라나 그런 식으로 작전짜지 저짝 사람들은 걍 와일드하게 야구하는 게 보이는 구만 뭐 ㅋㅋㅋ 저날도 어느 정도 즐겜 같아 보였음 동아시아쪽하고 야구결이 다름,0.0
199,이인재 그래요 몰랐네요 좋은 정보 고맙습니다,0.0
200,박해민 이정 후 둘의 안타가 결정적이었다 진짜 ㅋㅋ,0.0
201,ㄹㅇ 가성비 갑 임 공부하다 9회 말만 봤는데,0.0
202,약속의 8회란 게 뒤로 가면 갈수록 더 육 끈질겨지고 간절함이 계속 기적을 만드니까 그런 게 아닐까 싶다 기적이 아닌 실력이지,0.0
203,역시 의 캡틴,0.0
204,처음부터 이기자 심장이 조마조마 해지네 이겨서 다행 근데 상대편 투수 잘 하더라,0.0
205,강백호는 진짜 다시 초심으로 돌아가서 야구를 다시 연습해야 할 듯,0.0
206,도미니카는 일본 때도 그렇고 9회에서 역전당하니 빡치겠네,0.0
207,8회 말까지 지고 있길래 졌구나 하고 안 봤는데 이렇게 이 겼네,0.0
208,누구는 진다고 했는데 저는 이 길 거 같았거든요 ㅋㅋㅋ 후반전까지 최선을 다하면 이길 수 있으니깐요,0.0
209,일본 스포츠협회가 종목 총원 144명 제한을 걸어서 출전권 2장이 사라졌슴 다 ㅡㅡ,0.0
210,캐나다도 없고 대만도 없고 쿠바도 없고 호주도 없고 6개 팀 뿐이네,0.0
211,나 이 거 1회부터 다 봤는데 첨부터 끝까지 본 내가 승리자다,0.0
212,속상하다 남일인데도 ㅠㅠ,0.0
213,대체 법적인 부인은 누구야 호적상 진짜 부인,0.0
214,신종 사기 수법이 네 신박하다,0.0
215,저건 시 엄마가 갚아줘야 하지 않나,0.0
216,본인한테 과 분한 친절과 능력 있는 사람이 온다 일단 거르고 확인해 본다,0.0
217,요즘은 이런 일도 많이 나오던데 여자들이 정신을 차려야 될 것 같네요 사랑이란 말에 모든 걸 걸면 안 되겠네요,0.0
218,대부업체에서도 빌렸다고 나옴 영상에,0.0
219,그리고 몰래 얼굴 공개해라,0.0
220,결혼 전 서로 맞교환할 서류 범죄 경력회보서 금융거래 확인서 부채 거래확인서 건강보험공단 의료기록 5년치 이사 다닌 등본 졸업장인 륜지대사에 서로가 이 정도 확인은 하고 결혼을 해야죠,0.0
221,야 알 못입니다만 대 타 선수의 안타와 대주자 선수의 도루도 대단하다고 생각합니다 특히 안타,0.0
222,가족관계증명서가 필수 아닌가요,0.0
223,불쌍한 아내 딸은 무슨 잘못인가요도 대체 남편 무슨 생각으로 사는 걸까 요세상 말세,0.0
224,힘네세요,0.0
225,대한민국의 저력,0.0
226,이종범이 아들 두 명만 더 낳았어도 아쉽네ㅎㅎㅎ,0.0
227,이런 게 진짜 스타지,0.0
228,아니 9회초까지 보다 잔 나는 뭐가 되니,0.0
229,아 군대 가서 야구해야 되는데,0.0
230,님만 모르고 있었음,0.0
231,아 관 중이 없는 게 진짜 너무너무 아쉽다 ㅋㅋㅋㅋㅋㅋㅋㅋ,0.0
232,아니 이 거는 너무 어이없게 당했네,0.0
233,남편에 대한 미움이 애기한테 가질 않길 바래요 힘내요,0.0
234,오늘도 내일도 좋은 하루 보내십 쇼,0.0
235,아 김현수 떨어지는 볼 아주 잘쳐 따 쥑여주네,0.0
236,진짜 9회 말 2 아웃이라더니만,0.0
237,진짜 야구는 9회 말 2아웃부터 다 라는 정석을 보여주는 역전 게임,0.0
238,한편의 영화다,0.0
239,이게 바로 야구지요 야구는 9회말,0.0
240,한국의 매운 맛을 받아라,0.0
241,박승빈 아 베이징 다시 보고 와야겠닼ㅋㅋㅋㅋㅋ,0.0
242,어제 에 라이 하다가 우오오오와와 와,0.0
243,아까까지만 해도 아웃되고 나가리 되다가 막판에 중요할 때 쳐주니까 너무 좋네,0.0
244,선수들 열심히 한 건 알겠는데 그닥 기쁘지도 않고 오히려 기분이 더 나쁨 프로고 나라를 대표해서 나간 거면 좀 처음부터 적당한 긴장감을 가지고 하면 안 되나 머리 속에 면제 면제 면제 만 채워놓으니 경기에 집중을 하나 경기라는 게 이길 수도 질 수도 있는 건데 진짜 다른 나라에 비해서 우리나라 선수들이 경기에 임하는 자세는 정말 최악인 거 같음,0.0
245,아오 이걸 실황으로 못 보다니,0.0
246,상대 투수도 되개 유명하고 잘 던지는 투수에요,0.0
247,지나가는 시민 아 다시 보니 볼이 낮네요 알려주셔서 감사합니다,0.0
248,상대 투구가 일부러 볼 낮게 깔았는데 김현수가 살짝 무릎 꿇으면서까지 친 거예요 그게 안타가 된 거구 여 ㅎㅎ 미친 거죠 그냥 ㅋㅋㅋㅋ 김햔수가,0.0
249,아 치기 어려운 볼을 친 건가요 야구 잘 몰라서,0.0
250,와 이 거본 사람이 승리자다,0.0
251,이 영상의 개인적인 제목 끝날 때까지 끝난 게 아니다,0.0
252,솔직히 너무 못한 다 대표팀,0.0
253,오늘도 가즈아,0.0
254,잘 싸우셨어요 응원할게요 감동이었어요 감사합니다,0.0
255,역시 끝날 때까지 끝난 게 아니다 ㅋ,0.0
256,정말 우리 선수들 수고 많이 하셨어요 남은 경기 최선을 다해 금메달 땃음 좋겟네요 화이팅,0.0
257,이것이 야구다,0.0
258,근데 이 상하게 예전과 같은 감동이 없다 ㅠㅠ,0.0
259,현수 하고 싶은 거 해,0.0
260,대한민국 승리하라 영원하라,0.0
261,야구 우승,0.0
262,메시형 야구도 봐,0.0
263,안졌어,0.0
264,쫄깃쫄깃 하구먼 대한민국 화이팅,0.0
265,역시 야구는 감독의 경기다,0.0
266,그럼 비 인기 종목에 더 관심을 가져줘야지 인기 종목을 욕하시면 어 떡해요,0.0
267,승리 축,0.0
268,머리가 쏴하네ㅋㅋ 대한민국 홧팅,0.0
269,야 대단하네,0.0
270,장하다 ㅡ국대 ㅡ화이팅,0.0
271,아니 한국어로 중계하는데 한국어 자막이 왜냐고,0.0
272,자막 끄면 되잖아,0.0
273,역시 끼리끼리 팀웍이 좋네,0.0
274,이종범 이 정 후 그 아빠에 그 아들 ㅎㅎ,0.0
275,근데 맨날 희생하는 사람들만 하누ㅜㅜ 뭔가 보상도 진짜 필요하다,0.0
276,외국에서는 잘 모르는 한국 야구 한국 야구는 항상 9회부터 시작한다,0.0
277,결국 드라마를 썼구나,0.0
278,9회말 앞둔 상황에서 광고할 때에 라이 또 이 모양이 네 하고 욕하면서 채널 돌렸는데 아오 ㅋㅋㅋ,0.0
279,이걸 대체 몇 번 보는 거지 그래도 즐겁다,0.0
280,야이 못된 인간들 아 너들이 그렇게 비난 안 해도 여자는 엄청난 자책감에 괴로워하고 있을 거다 이미 벌어진 일이고 그래도 어떻게든 책임지고 아기 키우고 살려고 발버둥치고 있잖아 어차피 교훈은 각자의 마음속에서 다 느낄 거고 저 여자도 뼈저리게 느꼈을 테니 그냥 응원해주는 게 낫다 그렇게 살다 보면 또 살아지는 게 인생이고 그 속에서도 행복을 찾을 수 있는 날이  올 거임 힘내십 쇼,0.0
281,아니 사기꾼 가족들은 왜 말 안 해줬냐 어 이가 없네,0.0
282,사기도 존 잘 돈이면 쉽네,0.0
283,아니ㅋ 내 스스로가 내 수준을 알잖아 재벌가는 무슨 ㅎㅎ 한치의 의심도 않고 허황된 꿈쫓은 니 잘못도 크다,0.0
284,사기로 집어 넣어야지요,0.0
285,여성분 너무 안타깝고 가엾네요 마음이 얼마나 처참하고 무너질까 에 휴,0.0
286,맘이 너무 아프다 ㅠㅠ,0.0
287,리플리 증후군 미 친 놈 영화에 나오는 사람 거의 없습니다 여성들은 정신차리고 살아야 합니다,0.0
288,나 같으면 손절할 듯,0.0
289,돌싱여자가 아무것도 몰랐을 리가 없는데,0.0
290,정상정인 사고를 가진 남자는 자기가 사랑하는 여자 이름으로 빚지지 않는다,0.0
291,너무 잘하면서 돈도 많고 완벽 그자 채는 완벽한 사기꾼 있니다,0.0
292,사기꾼들은 무조건 얼굴 공개해야 된다 또 누구한테 피해를 줄지 모르니,0.0
293,아 진짜 미친 거 아님,0.0
294,돈 빌려달라는 남자는 만나는 거 아니라고 70대 엄마가 말씀하셨습니다 인생에서 딱 한 명 있었는데 돈 떼였네요,0.0
295,열심히 일해서 갚아 나갈려고 ㅜ해도 한 달에 이자만 400이면 진짜 어떻게 사냐아 휴 진짜 욕 나온 다 진짜,0.0
296,꼭 꼭 응당한 징계를 받기를,0.0
297,딸아이 사랑으로 잘 키우세요 분명 사랑 듬뿍 받고 자란 후엔 효도로 갚음 할 겁니다,0.0
298,사기죄 처벌이 너무 약해 이나라는,0.0
299,돈 보고 사람 좋아함 안 됨,0.0
300,공들여서 사기 친다,0.0
301,아니 애는 왜 낳게 해 애가 무슨 죄가 있냐,0.0
