,comments,sentiment,tokens
7870,유모차 잡아준 사람은 지나가던 행인 이야 너나 눈 똑바로 처 뜨고 살아라 사시냐 뭐 이런 벼엉신 같은 게 있지,1,"['유모차', '잡아', '준', '사람', '은', '지나가던', '행인', '이야', '너', '나', '눈', '똑바로', '처', '뜨고', '살아라', '사시', '냐', '뭐', '이런', '벼', '엉', '신', '같은', '게', '있지']"
7871,나 예뻐,0,"['나', '예뻐']"
7872,노인네 야구 빠 따로 팔 다리 다 뿌사뿔 라마 벽에 똥 칠하고 싶나,1,"['노인', '네', '야구', '빠', '따로', '팔', '다리', '다', '뿌사뿔', '라마', '벽', '에', '똥', '칠하고', '싶나']"
7873,남자 새끼가 능력 없어서 공군 하사나 하고 살고 있으면 정신 좀 차리고 살아라 거세 좀 하자 진짜 저런 것들은,1,"['남자', '새끼', '가', '능력', '없어서', '공군', '하사', '나', '하고', '살', '고', '있으면', '정신', '좀', '차리고', '살아라', '거세', '좀', '하자', '진짜', '저런', '것', '들', '은']"
7874,배구 너무 재밌 다 진짜 ㅠㅠㅠㅠㅠㅠㅠㅠㅠ 실시간은 심장마비 걸릴 거 같아서 못 보고 끝난 뒤 경기보는데 결과 아는데도 진짜 너무너무 재밌 다 득점할 때마다 비 명 지르게 됨,0,"['배구', '너무', '재밌', '다', '진짜', 'ㅠㅠㅠㅠㅠㅠㅠㅠㅠ', '실시간', '은', '심장마비', '걸릴', '거', '같아서', '못', '보고', '끝난', '뒤', '경기', '보는데', '결과', '아는데도', '진짜', '너무', '너무', '재밌', '다', '득점', '할', '때', '마다', '비', '명', '지르게', '됨']"
7875,법한 도 벗어나 타인에게 범죄 저지른 새 ㄱ기는 그런 거 따질 자격 없음,1,"['법', '한', '도', '벗어나', '타인', '에게', '범죄', '저지른', '새', 'ㄱ', '기는', '그런', '거', '따질', '자격', '없음']"
7876,얼굴이 뻐 성격 좋아 연예인이지 건물주이지 돈 많지 하ㅠ,0,"['얼굴', '이', '뻐', '성격', '좋아', '연예인', '이지', '건물', '주', '이지', '돈', '많지', '하', 'ㅠ']"
7877,마른 게 크긴 크더라,1,"['마른', '게', '크긴', '크더라']"
7878,제발 함 소원 좀 안 바 쓰면 조겠어요,1,"['제발', '함', '소원', '좀', '안', '바', '쓰면', '조겠어요']"
7879,서로에게 무조건적으로 자신이 가진 모든 것을 남김없이 헌신하면서 후회 없는 사랑을 했던 당신들의 경험이 너무나도 가치 있고 부러워서 눈물이 납니다 그동안 감사했습니다,0,"['서로', '에게', '무조건', '적', '으로', '자신', '이', '가진', '모든', '것', '을', '남김없이', '헌신', '하면서', '후회', '없는', '사랑', '을', '했던', '당신', '들', '의', '경험', '이', '너무나도', '가치', '있고', '부러워서', '눈물', '이', '납니다', '그동안', '감사했습니다']"
7880,문재앙 시대라 반미 민족주의 드라마냐 ㅋㅋ 진짜 빨갱이들은 남영동 부활시켜서 다 조져야됨,1,"['문', '재앙', '시대', '라', '반미', '민족주의', '드라마', '냐', 'ㅋㅋ', '진짜', '빨갱이', '들', '은', '남영동', '부활', '시켜서', '다', '조져야', '됨']"
7881,알겠다 끝나고 영상 나올 때 4분 8초임,0,"['알겠다', '끝나고', '영상', '나올', '때', '4분', '8초', '임']"
7882,이종석 여우 같네 진짜 ㅋㅋㅋㅋ 내가 박보영 아이유 입장이었으면 ㅈ 같을 듯,1,"['이종석', '여우', '같네', '진짜', 'ㅋㅋㅋㅋ', '내', '가', '박보영', '아이유', '입장', '이었으면', 'ㅈ', '같을', '듯']"
7883,전쟁 날 일이 없는데 쓸데없는 짓 하네,0,"['전쟁', '날', '일이', '없는데', '쓸데없는', '짓', '하네']"
7884,와 노래 좋다 역시,0,"['와', '노래', '좋다', '역시']"
7885,쿠팡 이 쓰레기 망해야 함,1,"['쿠팡', '이', '쓰레기', '망해야', '함']"
7886,세상에는 미친놈들이 많군요,1,"['세상', '에는', '미친', '놈', '들', '이', '많군요']"
7887,역시 양궁 강국 대한민국,0,"['역시', '양궁', '강국', '대한민국']"
7888,자랑스런 대한민국 선수들,0,"['자랑스런', '대한민국', '선수', '들']"
7889,애들을 주워왔나,1,"['애', '들', '을', '주워', '왔나']"
7890,아꼬시다ㅋㅋㅋㅋㅋㅋ,0,"['아꼬시', '다', 'ㅋㅋㅋㅋㅋㅋ']"
7891,멋있어 ㅠ,0,"['멋있어', 'ㅠ']"
7892,어휴 시ㅎ발것들아 하지 말라는 게 아니라 할 거면 19금을 걸라는 거자나 최소 애들은 저런 거 못 보게 해야지,1,"['어휴', '시', 'ㅎ', '발것', '들', '아', '하지', '말', '라는', '게', '아니라', '할', '거', '면', '19', '금', '을', '걸', '라는', '거', '자', '나', '최소', '애', '들', '은', '저런', '거', '못', '보게', '해야지']"
7893,현재까지 나온 경력 있는 신입 컨텐츠 중에서 가장 음식이 빛을 발한 곳이 아닐까 승빠가 볶아지는 것도 재밌는 컨텐츠라고 생각했는데 오늘은 보면서 침 흘리면서 봄 너무 맛있겠다,0,"['현재', '까지', '나온', '경력', '있는', '신입', '컨텐츠', '중', '에서', '가장', '음식', '이', '빛', '을', '발', '한', '곳', '이', '아닐까', '승빠', '가', '볶아지는', '것', '도', '재밌는', '컨텐츠', '라고', '생각', '했는데', '오늘', '은', '보면서', '침', '흘리면서', '봄', '너무', '맛있겠다']"
7894,저러고서 사고 나면 지 잘못 없다는 표정으로 내리면 ㄹㅇ 죽 빵마려움,1,"['저러고서', '사고', '나면', '지', '잘못', '없다는', '표정', '으로', '내리면', 'ㄹㅇ', '죽', '빵마려움']"
7895,이 영상을 보면 알바에서 일하고 싶어지는 희한한 중독,0,"['이', '영상', '을', '보면', '알바', '에서', '일', '하고', '싶어지는', '희한한', '중독']"
7896,성범죄에 안 쓰이게 생활보급 안 되도록 해야 할 듯,0,"['성범죄', '에', '안', '쓰이게', '생활', '보급', '안', '되도록', '해야', '할', '듯']"
7897,근데 대체 어 케 10이 저렇게 연속으로 나오냐,0,"['근데', '대체', '어', '케', '10', '이', '저렇게', '연속', '으로', '나오냐']"
7898,신상공개 안하면 또 다른 피해자들이 나오는 거 아님 우리나라는 범죄 하라고 격려해 주네,0,"['신상', '공개', '안', '하면', '또', '다른', '피해자', '들', '이', '나오는', '거', '아님', '우리나라', '는', '범죄', '하라', '고', '격려', '해', '주네']"
7899,김지호 개쓰레기,1,"['김지호', '개', '쓰레기']"
7900,세상에,0,"['세상', '에']"
7901,나도 남자지만 송 중기는 ㄹㅇ 밥맛이네,1,"['나도', '남자', '지만', '송', '중', '기는', 'ㄹㅇ', '밥맛', '이네']"
7902,ㅅㅂ 피곤하면 차 운전하지 말고 중간에 여관이나 찜 장가서 처 자고가 ㅅㅂ,1,"['ㅅㅂ', '피곤하면', '차', '운전', '하지', '말고', '중간', '에', '여관', '이나', '찜', '장가', '서', '처', '자고', '가', 'ㅅㅂ']"
7903,화이팅 뭐 이럴 때도 있는 거지 안타깝지만 다음을 기 약하자,0,"['화이팅', '뭐', '이럴', '때', '도', '있는', '거지', '안타깝지만', '다음', '을', '기', '약하자']"
7904,이 먼 지하철 한 칸마다 역무원이나 역무원호출 버튼이 있어야 할 듯 미친 거아냐,0,"['이', '먼', '지하철', '한', '칸', '마다', '역무', '원', '이나', '역무', '원', '호출', '버튼', '이', '있어야', '할', '듯', '미친', '거', '아냐']"
7905,진짜 멋있습니다 존경합니다,0,"['진짜', '멋있습니다', '존경', '합니다']"
7906,뮤비 한 번만 보고 그냥 노래만 듣는데 소미언냐 너무 예뻐서 벌써 세 번째 보는 중진짜 하이틴 그 자체 야 너무 예뻐,0,"['뮤비', '한', '번만', '보고', '그냥', '노래', '만', '듣는데', '소미언', '냐', '너무', '예뻐서', '벌써', '세', '번째', '보는', '중', '진짜', '하이', '틴', '그', '자체', '야', '너무', '예뻐']"
7907,다른 유튜버들 큐앤에 이 하면 제가 원하는 답변 못 들을 때 가 많았는데 역시 프리 쟈프링이를 아끼는 마음 진짜 사랑 해용,0,"['다른', '유튜', '버들', '큐앤', '에', '이', '하면', '제', '가', '원하는', '답변', '못', '들을', '때', '가', '많았는데', '역시', '프리', '쟈프링', '이를', '아끼는', '마음', '진짜', '사랑', '해용']"
7908,진짜 이 영상이 채똥 영상 중에 진짜 ㄹㅈㄷ 1일 1영상 하고 있습니 당ㅠㅠㅠ 진짜 너무 재밌어용,0,"['진짜', '이', '영상', '이', '채똥', '영상', '중', '에', '진짜', 'ㄹㅈㄷ', '1일', '1', '영상', '하고', '있', '습', '니', '당', 'ㅠㅠㅠ', '진짜', '너무', '재밌어용']"
7909,단단히 미친놈이네,1,"['단단히', '미친', '놈', '이네']"
7910,님 조선족이 죠 말투가 왜 그래요,1,"['님', '조선족', '이', '죠', '말투', '가', '왜', '그래요']"
7911,금 메달 목에 걸고 오시길 바라봅니다,0,"['금', '메달', '목', '에', '걸고', '오시길', '바라봅니다']"
7912,그렇게 열심히 빼액대던 여성들이 정작 위안부 기부금 도둑질하고 아몰랑하고 있지 ㅋㄱㅋ,1,"['그렇게', '열심히', '빼액', '대던', '여성', '들', '이', '정작', '위안부', '기', '부금', '도둑질', '하고', '아', '몰랑하고', '있지', 'ㅋㄱㅋ']"
7913,나만 이찬오가 이해 되나 세상에 얼마나 성격 쓰레기 같은 뇬들이 많은데 말싸움 잘못했다간 칼들고 설친 다 내가 수많은 사람을 만나봤지만 남자들은 보통 20가 나쁜 새끼던데 여자는 20만 봐줄 만한 성격이더라,1,"['나', '만', '이찬오', '가', '이해', '되나', '세상', '에', '얼마나', '성격', '쓰레기', '같은', '뇬들', '이', '많은데', '말', '싸움', '잘', '못', '했다간', '칼', '들', '고', '설친', '다', '내', '가', '수많은', '사람', '을', '만나', '봤지만', '남자', '들', '은', '보통', '20', '가', '나쁜', '새끼', '던데', '여자', '는', '20만', '봐줄', '만', '한', '성격', '이', '더', '라']"
7914,얘 뭐 구속이고 뭐고 치료 좀 해야겠던데 얼훌이 이 미 중독 증세 임 환각 증세 보이겠던데 아픈 애 데리고 뭘 자꾸 조사야 누가 시켜서 했든 뭐 하든 똑같이 한 걸 왜 얘가 억지로 했다는 자백 받아야 황 하나 풀어주니까 ㅎㅎㅎ,1,"['얘', '뭐', '구속', '이고', '뭐', '고', '치료', '좀', '해야겠던데', '얼훌', '이', '이', '미', '중독', '증세', '임', '환각', '증세', '보이겠던데', '아픈', '애', '데리', '고', '뭘', '자꾸', '조사', '야', '누가', '시켜서', '했든', '뭐', '하든', '똑같이', '한', '걸', '왜', '얘', '가', '억지로', '했다는', '자백', '받아야', '황', '하나', '풀어주니까', 'ㅎㅎㅎ']"
7915,와우 사기 결혼 ㅋ ㅋ,0,"['와우', '사기', '결혼', 'ㅋ', 'ㅋ']"
7916,진심 개꼰대 ㅋㅋㅋㅋㅋ선수의 학폭은 기본이요 금메달 선수를 해외로 귀 화 시키게 만들고 학연 지연 혈연으로 감독 시키고 선수 폭행에 선 후배 사이에서 서로 챙겨주지 못 할 망정 선배를 밀어내고 성추행까지 아주 이네,1,"['진심', '개꼰대', 'ㅋㅋㅋㅋㅋ', '선수', '의', '학폭', '은', '기본', '이', '요', '금메달', '선수', '를', '해외', '로', '귀', '화', '시키게', '만들고', '학연', '지연', '혈연', '으로', '감독', '시키고', '선수', '폭행', '에', '선', '후배', '사이', '에서', '서로', '챙겨주지', '못', '할', '망정', '선배', '를', '밀어내고', '성추행', '까지', '아주', '이네']"
7917,사실 거꾸로인데 ㅋㅋ 욕 무지하게 먹고 사장될 뻔한 김구라를 살려준 게 어린 동현이였음,0,"['사실', '거꾸로', '인데', 'ㅋㅋ', '욕', '무지하게', '먹고', '사장', '될', '뻔한', '김구라', '를', '살려', '준', '게', '어린', '동현', '이', '였음']"
7918,기술의 힘 과학의 발전 정말 좋습니다,0,"['기술', '의', '힘', '과학', '의', '발전', '정말', '좋습니다']"
7919,진짜 늙은 꼰대들은 운전대 못 잡게 해야 되,1,"['진짜', '늙은', '꼰대들', '은', '운전대', '못', '잡게', '해야', '되']"
7920,전부터 매니저 티비나오는 거 보니까 꼬름하게 생긴 게 좀 모자라 보이드라 운전도 못해 보이고 졸음운전으로 본다,1,"['전', '부터', '매니저', '티비', '나오는', '거', '보', '니까', '꼬름하', '게', '생긴', '게', '좀', '모자라', '보이드', '라', '운전', '도', '못', '해', '보이', '고', '졸음', '운전', '으로', '본다']"
7921,아버님이니 잘못 아니다 할 때 모지막장 드라마에서 나오는 그런 스윗한 내용 같음,0,"['아버님', '이니', '잘못', '아니다', '할', '때', '모', '지', '막장', '드라마', '에서', '나오는', '그런', '스윗', '한', '내용', '같음']"
7922,그래도 이번 만큼은 댄 서 분들 옷이 더 소미랑 비슷한 무드로 갔어도 좋았을 거 같아 이런 하이틴스러운 컨셉 소미밖에 소화 못한 거 알자너 와 쥐 좀 만 더 나를 소름 돋게 해봐 내 과몰입 책임지라고,0,"['그래도', '이번', '만큼은', '댄', '서', '분들', '옷', '이', '더', '소', '미랑', '비슷한', '무드', '로', '갔어도', '좋았을', '거', '같아', '이런', '하이', '틴', '스러운', '컨셉', '소', '미밖에', '소화', '못', '한', '거', '알자', '너', '와', '쥐', '좀', '만', '더', '나를', '소름', '돋게', '해봐', '내', '과', '몰입', '책임지라고']"
7923,벌금 장난하냐,0,"['벌금', '장난', '하냐']"
7924,상이님 목소리구나 오,0,"['상이', '님', '목소리', '구나', '오']"
7925,중공 짐승들 따무에 조선인이 욕보 네 몬죄인의 업적 력도 도살 멸공,1,"['중공', '짐승', '들', '따', '무', '에', '조선인', '이', '욕보', '네', '몬죄인', '의', '업적', '력도', '도살', '멸공']"
7926,무탈하게 꼭 돌아오길 부모의 마음으로 기도 드리고 또 같은 분당 지역 주민 으로 아이 얼굴 기억해 놓고 오며 가며 도움이 될 수 있길 바래요,0,"['무', '탈하게', '꼭', '돌아오길', '부모', '의', '마음', '으로', '기도', '드리고', '또', '같은', '분당', '지역', '주민', '으로', '아이', '얼굴', '기억', '해', '놓고', '오며', '가며', '도움', '이', '될', '수', '있길', '바', '래', '요']"
7927,볼보는 운전자 과실이라고 발뺌 쳐하는데 한 사람의 인생이 아작났고 한 가정이 파탄 났는데 ㅅㅂ 국가가 나서서 도와 줘라 징벌적 손해배상도 좀 만들고,1,"['볼보', '는', '운전자', '과실', '이라고', '발뺌', '쳐하는데', '한', '사람', '의', '인생', '이', '아작', '났고', '한', '가정', '이', '파탄', '났는데', 'ㅅㅂ', '국가', '가', '나서서', '도', '와', '줘라', '징벌', '적', '손해배상', '도', '좀', '만들고']"
7928,인기 급 상승 동영상 1 너무 마음에 든다,0,"['인기', '급', '상승', '동영상', '1', '너무', '마음', '에', '든다']"
7929,이 정도면 이 제 머스크는 연구소에서 연구 진행 중이고 머스크는 아무것도 모르는데 누가 트위터 계정으로 장난치는 거 아니냐 머스크가 지금까지 해온 모든 사업의 방향이 인류 전체를 위한 일인데 아무 생각 없이 저런 행동을 한다는 게 쉽사리 이해되지는 않는다 아니면 준비 돤 자들만 데려가려는 건가,0,"['이', '정도', '면', '이', '제', '머스크', '는', '연구소', '에서', '연구', '진행', '중이', '고', '머스크', '는', '아무', '것', '도', '모르는데', '누가', '트위터', '계정', '으로', '장난', '치는', '거', '아니냐', '머스크', '가', '지금', '까지', '해온', '모든', '사업', '의', '방향', '이', '인류', '전체', '를', '위', '한', '일', '인데', '아무', '생각', '없이', '저런', '행동', '을', '한다는', '게', '쉽사리', '이해', '되지는', '않는다', '아니면', '준비', '돤', '자', '들', '만', '데려가려는', '건가']"
7930,개 찌질한 새기 니 잘났다,1,"['개', '찌질한', '새기', '니', '잘났다']"
7931,존 나 도 라 이같애요 ㅜㅜㅜㅠㅠㅠㅜ 진짜 지릴 듯,1,"['존', '나', '도', '라', '이', '같', '애', '요', 'ㅜㅜㅜㅠㅠㅠㅜ', '진짜', '지릴', '듯']"
7932,ㅁㅊ,0,['ㅁㅊ']
7933,뽕쟁이 몰 골 ㄷㄷ,1,"['뽕', '쟁이', '몰', '골', 'ㄷㄷ']"
7934,에휴,0,"['에', '휴']"
7935,공감하지만 현실적으론 거의 불가죠,0,"['공감', '하', '지만', '현실', '적', '으론', '거의', '불가', '죠']"
7936,ㄹㅇ 성범죄자도 남자가 많고 툭하면 묻지마 살인도 하는데 거기에 남경들은 같은 좆이니까 알아서 해하면서 가해자 편들기 바쁨 그래서 요즘 남짭새도 남자도 못 믿겠음,1,"['ㄹㅇ', '성범죄자', '도', '남자', '가', '많고', '툭하면', '묻지마', '살인', '도', '하는데', '거기', '에', '남경', '들', '은', '같은', '좆', '이니까', '알아서', '해', '하면서', '가해자', '편', '들기', '바쁨', '그래서', '요즘', '남', '짭', '새도', '남자', '도', '못', '믿겠음']"
7937,아까까지만 해도 아웃되고 나가리 되다가 막판에 중요할 때 쳐주니까 너무 좋네,0,"['아까까지만', '해도', '아웃', '되고', '나가리', '되다가', '막판', '에', '중요할', '때', '쳐주니까', '너무', '좋네']"
7938,ㅈㅂ,0,['ㅈㅂ']
7939,소방관들은 진짜 월급 좀 많이 좀 줘라 국개들아,1,"['소방관', '들', '은', '진짜', '월급', '좀', '많이', '좀', '줘라', '국개', '들', '아']"
7940,결별 관심 없고 그냥 한 혜진 왜 나오는지 모르겠음 화사가 차라리 백 번 착해 보이고 궁금함,1,"['결별', '관심', '없고', '그냥', '한', '혜진', '왜', '나오는지', '모르겠음', '화사', '가', '차라리', '백', '번', '착해', '보이', '고', '궁금함']"
7941,볶음면 위에 체 다치즈 올려서 먹으면 환장함,0,"['볶음', '면', '위', '에', '체', '다', '치즈', '올려서', '먹으면', '환장함']"
7942,한남 종 특임 ㅇㅇ,1,"['한남', '종', '특임', 'ㅇㅇ']"
7943,대한민국은 좁고 차는 존 내 바리 많고 병신도 존 내 바리 많다,1,"['대한민국', '은', '좁고', '차는', '존', '내', '바리', '많고', '병신', '도', '존', '내', '바리', '많다']"
7944,이 놈의 ㅈ 같은 법은 언제쯤 변하려나 학폭 때문에 자살 시도하려는 애들은 자살한 애들은 도대체 무슨 죄일까 타인을 괴롭히는 게 범죄이고 범죄자인데 도대체 촉법소년이라는 ㅈ 같은 법을 처 만들어놔서 에 혀 ㅆ 발거,1,"['이', '놈', '의', 'ㅈ', '같은', '법', '은', '언제', '쯤', '변하려나', '학폭', '때문', '에', '자살', '시도', '하려는', '애', '들', '은', '자살', '한', '애', '들', '은', '도대체', '무슨', '죄', '일까', '타인', '을', '괴롭히는', '게', '범죄', '이고', '범죄자', '인데', '도대체', '촉법소년', '이라는', 'ㅈ', '같은', '법', '을', '처', '만들어', '놔서', '에', '혀', 'ㅆ', '발거']"
7945,난 내 새끼 건드는 것들 있으면 한 놈한 놈씩 찾아가서 팔한 쪽씩 자를 꺼야 그리고 감옥 갈 거야 다시 나오면 나머지 팔 한 쪽씩 자를 거야 난 감옥에서도 신 나서 웃을 거야 그것들이 내가 또 나오나 안 나오나 무서워 하면서 살게 할 거야 내 새끼 건들면 웃으면서 복수할 거야,1,"['난', '내', '새끼', '건', '드는', '것', '들', '있으면', '한', '놈', '한', '놈', '씩', '찾아가서', '팔', '한', '쪽', '씩', '자를', '꺼야', '그리고', '감옥', '갈', '거야', '다시', '나오면', '나머지', '팔', '한', '쪽', '씩', '자를', '거야', '난', '감옥', '에서도', '신', '나서', '웃', '을', '거야', '그것', '들', '이', '내', '가', '또', '나오나', '안', '나오나', '무서워', '하면서', '살', '게', '할', '거야', '내', '새끼', '건', '들', '면', '웃으면서', '복수', '할', '거야']"
7946,와 저거 네비스 그네 저거 해보고 싶다,0,"['와', '저', '거', '네비스', '그네', '저', '거', '해보고', '싶다']"
7947,정부탓,0,"['정부', '탓']"
7948,천한 것들 답다,1,"['천한', '것', '들', '답', '다']"
7949,윰 누나노는 언니에서도 질문쟁이 유튜브에서도 질문쟁이 너무 귀엽고 좋아요 ㅋㅋㅋㅋㅋㅋㅋ,0,"['윰', '누나', '노', '는', '언니', '에서도', '질문', '쟁이', '유튜브', '에서도', '질문', '쟁이', '너무', '귀엽고', '좋아요', 'ㅋㅋㅋㅋㅋㅋㅋ']"
7950,참 조 까치 운전하네,1,"['참', '조', '까치', '운전', '하네']"
7951,애들 학폭이 왜 일어나는 줄 알아어른이라는 것들이 관심 가져주는 39척 39만 하고 좇 같은 법을 따라 댕 기다가 놔주니까 생기는 거야 쒸뽤럼들아,1,"['애', '들', '학폭', '이', '왜', '일어나는', '줄', '알', '아', '어른', '이라는', '것', '들', '이', '관심', '가져주는', '39', '척', '39만', '하고', '좇', '같은', '법', '을', '따라', '댕', '기', '다가', '놔주니까', '생기는', '거야', '쒸뽤럼들', '아']"
7952,암 유발님들,1,"['암', '유발', '님', '들']"
7953,좌파보단 낫네ㅋ,1,"['좌파', '보단', '낫', '네', 'ㅋ']"
7954,첫 번째 흰색 포터 미친늠이네,1,"['첫', '번째', '흰색', '포터', '미친늠', '이네']"
7955,폐지 줍는 어르신 한 대 욕할 수도 없고 난감하죠 만약 욕하면 내가 개새끼되고,1,"['폐지', '줍는', '어르신', '한', '대', '욕', '할', '수도', '없고', '난감하죠', '만약', '욕', '하면', '내', '가', '개새끼', '되고']"
7956,조회수 보고 눈비빔,0,"['조', '회수', '보고', '눈', '비빔']"
7957,ㅇㅈ,0,['ㅇㅈ']
7958,캬퉸 이거나 쳐먹어라 호모 새끼 ㅋㅋㅋ 아 오글거려 욕진짜 오글거리게 하네,1,"['캬퉸', '이', '거나', '쳐', '먹어라', '호모', '새끼', 'ㅋㅋㅋ', '아', '오글거려', '욕', '진짜', '오글거리게', '하네']"
7959,꾸러기들 안녕ㅎㅎ,0,"['꾸러기', '들', '안녕', 'ㅎㅎ']"
7960,김지호 남자 같이 생겨서 별로인데 왜 떴나 이 해 불가,1,"['김지호', '남자', '같이', '생겨서', '별로', '인데', '왜', '떴나', '이', '해', '불가']"
7961,뚝딱 뚝딱 만드는 모습이 재밌어요 가격도 저렴한데 컵도 크고 짱이네요,0,"['뚝딱', '뚝딱', '만드는', '모습', '이', '재밌어요', '가격', '도', '저렴한데', '컵', '도', '크고', '짱', '이네요']"
7962,와 모자 관계ㅋㅋㅋㅋㅋㅋㅋㅋ 아들 새끼가 잘 배우겠다ㅋㅋ,1,"['와', '모자', '관계', 'ㅋㅋㅋㅋㅋㅋㅋㅋ', '아들', '새끼', '가', '잘', '배우겠다', 'ㅋㅋ']"
7963,소금을 뭉 탱이로 넣은 라면,0,"['소금', '을', '뭉', '탱', '이로', '넣은', '라면']"
7964,경찰에 신고 하든가 알아서 좀 처리해 정민이부터 시작해서 감성팔이 오지네 진짜,1,"['경찰', '에', '신고', '하든', '가', '알아서', '좀', '처리', '해', '정민', '이', '부터', '시작', '해서', '감성', '팔이', '오지', '네', '진짜']"
