,comments,sentiment,tokens
11,현실 팩트 신고해도 증거 없고 누군지 모르면 신고처리 안 해주고 신고하고 싶으면 누군지 찾아내라고 합니다 그 사람이 만약 당신 성희롱하고 튀어버리면 못 찾는다 방법이 없다란 말만 들어 요 법적 책임 합의금 견찰이 왜 견 찰 소리 듣는지 한 번만 고소하는 과정만 봐도 느낌 그건 당신이 그 사람 목아지 끌고 경찰서 갔을 때 얼굴이 잘 보이는 사진을 찍었을 때 통하는 얘기에요  만약 당신 성희롱 성추행하고 튀어버리면 그 어떠한 처벌도 법적 책임 합의금 1도 안 물고 신고처리도 안 해줍니다 그래도 냉정하게 생각하십시오 이래서 실종되도 못 찾고 이슈도 안 나는 거고 납치 당하는 걸 봐도 성폭행을 봐도 껴들어 봤자 쌍방 폭행 사건 휘말리기 싫어서 안 본 척 모르는 척하는 사람들도 생기는 거죠 아무리 도와 달라고 애원하고 소리쳐도 말이 죠 그 사 람들 욕 못하죠 법이 그런 걸 우째요 냉정하게 봐야 죠 데이트 폭력으로 도와 달라고 해도 그 누구도 신고 안 하고 쳐다만 보고 생까길래 욕 했는데 법도 냉정하니 사람도 냉정해지는 건가봐요,0.0,"['현실', '팩트', '신고', '해도', '증거', '없고', '누군지', '모르면', '신고', '처리', '안', '해주고', '신고', '하고', '싶으면', '누군지', '찾아내라고', '합니다', '그', '사람', '이', '만약', '당신', '성희롱', '하고', '튀어', '버리면', '못', '찾는다', '방법', '이', '없다란', '말', '만', '들어', '요', '법적', '책임', '합의금', '견찰', '이', '왜', '견', '찰', '소리', '듣는지', '한', '번만', '고소하는', '과정', '만', '봐도', '느낌', '그건', '당신', '이', '그', '사람', '목', '아지', '끌', '고', '경찰서', '갔을', '때', '얼굴', '이', '잘', '보이는', '사진', '을', '찍었을', '때', '통', '하는', '얘기', '에요', '만약', '당신', '성희롱', '성추행', '하고', '튀어', '버리면', '그', '어떠한', '처벌', '도', '법적', '책임', '합의금', '1', '도', '안', '물', '고', '신고', '처리', '도', '안', '해줍니다', '그래도', '냉정하게', '생각', '하십시오', '이래서', '실종', '되도', '못', '찾고', '이슈', '도', '안', '나', '는', '거고', '납치', '당하는', '걸', '봐도', '성폭행', '을', '봐도', '껴', '들어', '봤자', '쌍방', '폭행', '사건', '휘', '말리기', '싫어서', '안', '본', '척', '모르는', '척', '하는', '사람', '들', '도', '생기는', '거', '죠', '아무리', '도', '와', '달라', '고', '애원', '하고', '소리쳐도', '말', '이', '죠', '그', '사', '람', '들', '욕', '못', '하죠', '법', '이', '그런', '걸', '우', '째요', '냉정하게', '봐야', '죠', '데이트', '폭력', '으로', '도', '와', '달라', '고', '해도', '그', '누구', '도', '신고', '안', '하고', '쳐다만', '보고', '생', '까길래', '욕', '했는데', '법도', '냉정하니', '사람', '도', '냉정해지는', '건가', '봐요']"
12,아 고등학생 이시구나 아마 미 성년자분들은 더 기다려야 될 꺼같네요 미국에서 먼저 맞아보고 부작용들 검토해서 맞을 꺼 같아 요 아무래도 미 성년자는 접종 관련해서 더 예민하게 생각할 꺼라,0.0,"['아', '고등학생', '이', '시구', '나', '아마', '미', '성년', '자', '분들', '은', '더', '기다려야', '될', '꺼', '같네요', '미국', '에서', '먼저', '맞아', '보고', '부작용', '들', '검토', '해서', '맞을', '꺼', '같아', '요', '아무래도', '미', '성년', '자', '는', '접종', '관련', '해서', '더', '예민하게', '생각', '할', '꺼라']"
13,언넝 백신들 맞으세요ㅋ전 화이자 1차까지 완료,0.0,"['언넝', '백', '신들', '맞으세요', 'ㅋ', '전', '화이자', '1', '차', '까지', '완료']"
14,턱에 잘못 맞으면 뇌가 흔들려서 기절한다고 더 파이팅에서 본 적 있는데 첫 번째 영상은 재수가 없었는지 계획적인 거지 턱에 제대로 꽂았네,0.0,"['턱', '에', '잘못', '맞으면', '뇌', '가', '흔들려서', '기절', '한다고', '더', '파이팅', '에서', '본', '적', '있는데', '첫', '번째', '영상', '은', '재수', '가', '없었는지', '계획', '적', '인', '거지', '턱', '에', '제대로', '꽂았네']"
15,하지만 대한민국도 인종 차별 있다는 거,0.0,"['하지만', '대한민국', '도', '인종', '차별', '있다는', '거']"
16,아무리 인종 차별 때문이라지만 공영방송에서 폭력의 현장을 장려하고 지지하는 듯한 영상을 보여주는 것은 적절치 못하다 엠비씨는 당장 방송 내려라,0.0,"['아무리', '인종', '차별', '때문', '이라지만', '공', '영', '방송', '에서', '폭력', '의', '현장', '을', '장려', '하고', '지지', '하는', '듯', '한', '영상', '을', '보여주는', '것', '은', '적절', '치', '못', '하다', '엠비씨', '는', '당장', '방송', '내려라']"
17,18세기 흑인은 사람이 아니라 고 하던 놈들인데 그리 쉽게 바뀔리가 근데 한국도 인종 차별 좀 심한 것 같다,0.0,"['18', '세기', '흑인', '은', '사람', '이', '아니라', '고', '하던', '놈', '들', '인데', '그리', '쉽게', '바뀔', '리가', '근데', '한국', '도', '인종', '차별', '좀', '심한', '것', '같다']"
18,두 번째는 창피해서 못 일어나나,0.0,"['두', '번', '째', '는', '창피해서', '못', '일어나나']"
19,첫 번째 자세만 봐도 배운 사람인데 무시하고 덤볐다가 원 펀치다운 ㅋㅋㅋ,0.0,"['첫', '번째', '자세', '만', '봐도', '배운', '사람', '인데', '무시', '하고', '덤볐다가', '원', '펀치', '다운', 'ㅋㅋㅋ']"
20,가끔 돌머리라서 턱 때려도 안 먹히는 경우가 있는데 그럴 때는 옆 통수나 눈썹 부근 옆 목처럼 뼈가 약한데 나 귀처럼 청각 손실을 일으키는 데를 때리는 게 좋긴 하지요,0.0,"['가끔', '돌', '머리', '라서', '턱', '때려도', '안', '먹히는', '경우', '가', '있는데', '그럴', '때', '는', '옆', '통', '수나', '눈썹', '부근', '옆', '목', '처럼', '뼈', '가', '약한데', '나', '귀', '처럼', '청각', '손실', '을', '일으키는', '데', '를', '때리는', '게', '좋긴', '하지요']"
21,턱맞으면 뇌 흔들리면서 몸에 힘이 풀려 요 코 맞아도 비슷함,0.0,"['턱', '맞으면', '뇌', '흔들리면서', '몸', '에', '힘', '이', '풀려', '요', '코', '맞아도', '비슷함']"
22,일론 머스크는,0.0,"['일', '론', '머스크', '는']"
23,인생 사 부 메랑 인데,0.0,"['인생', '사', '부', '메', '랑', '인데']"
24,분이 안 풀렸나 봄,0.0,"['분', '이', '안', '풀렸나', '봄']"
25,제발 싸우지 마라 운 안 좋으면 니가 오히려 체포된다,0.0,"['제발', '싸우지', '마라', '운', '안', '좋으면', '니', '가', '오히려', '체포', '된다']"
26,이것이 인종 차별자의 수난 시대다,0.0,"['이', '것', '이', '인종', '차별', '자의', '수난', '시대', '다']"
27,참을 수 밖에 없지 체격부터 차이나는 데,0.0,"['참을', '수', '밖에', '없지', '체격', '부터', '차이나는', '데']"
28,우리나라는 주먹보다 서류가 무서운 나라임 ㅋㅋ 한국에서 까불어대는 외국인들 각종 소송 먹이고 추방시키는 게 제일 좋다,0.0,"['우리나라', '는', '주먹', '보다', '서류', '가', '무서운', '나라', '임', 'ㅋㅋ', '한국', '에서', '까불어', '대는', '외국', '인들', '각종', '소송', '먹이', '고', '추방', '시키는', '게', '제일', '좋다']"
29,그래도 폭력은 안 되요 ㅠㅠ라고 얘기하고 싶지만 맞는 순간 통쾌하다,0.0,"['그래도', '폭력', '은', '안', '되요', 'ㅠㅠ', '라고', '얘기', '하고', '싶지만', '맞는', '순간', '통쾌하다']"
30,흑인들은 자기들이 그만큼 인종차별 당하면서 그대로 하고 다니네,0.0,"['흑인', '들', '은', '자기', '들', '이', '그만큼', '인종차별', '당하면서', '그대로', '하고', '다니네']"
31,다 똑갔은 사람임니 다 오히려 차별하는 사람이 이 상한 인간 임니다,0.0,"['다', '똑', '갔은', '사람', '임', '니', '다', '오히려', '차별', '하는', '사람', '이', '이', '상한', '인간', '임니다']"
32,그런데 아시아계를 집요하게 인종 차별하는 게 인종 차별을 끔 찍이 싫어하는 흑인들이라는 거,0.0,"['그런데', '아시아', '계', '를', '집요하게', '인종', '차별', '하는', '게', '인종', '차별', '을', '끔', '찍', '이', '싫어하는', '흑인', '들', '이라는', '거']"
33,나이가 안 돼요 ㅋㅋ 지금 접종 하고 있는 건 30세 이상만 예약받고 접종 하던데 고등학생은 언제 될지 모르겠네요 ㅋㅋ,0.0,"['나이', '가', '안', '돼요', 'ㅋㅋ', '지금', '접종', '하고', '있는', '건', '30', '세', '이상만', '예약', '받고', '접종', '하던데', '고등학생', '은', '언제', '될지', '모르겠네요', 'ㅋㅋ']"
34,ㅠㅠ 얼른 백신 맞고 싶네요 ㅋㅋ,0.0,"['ㅠㅠ', '얼른', '백신', '맞고', '싶네요', 'ㅋㅋ']"
35,나만 마스크 안 쓴 거 걱정되나 큼 너무 코로나에 쪄 들어 있었던 듯 ㅋㅋ,0.0,"['나', '만', '마스크', '안', '쓴', '거', '걱정', '되나', '큼', '너무', '코로나', '에', '쪄', '들어', '있었던', '듯', 'ㅋㅋ']"
36,시원하게 잘 꽂 내 운동 신경 좋내,0.0,"['시원하게', '잘', '꽂', '내', '운동', '신경', '좋내']"
37,주륵,0.0,['주륵']
38,통쾌하네요,0.0,['통쾌하네요']
39,원래 사람들이 원 펀치로 기절 하나요,0.0,"['원래', '사람', '들', '이', '원', '펀치', '로', '기절', '하나요']"
40,폭력을 정당화 하시는 건가요,0.0,"['폭력', '을', '정당화', '하시는', '건가', '요']"
41,참 인종차별이란 건 100년 1000년 이 흘러도 절대 없어지지 않을 거 같다,0.0,"['참', '인종차별', '이란', '건', '100년', '1000년', '이', '흘러도', '절대', '없어지지', '않을', '거', '같다']"
42,제목에 꿈틀한다는 약간 뭐랄까 벌레 같다는 느낌이 있네요,0.0,"['제목', '에', '꿈틀', '한다는', '약간', '뭐랄까', '벌레', '같다는', '느낌', '이', '있네요']"
43,왜 피해자들만 마스크 쓰고 있냐 참 역겹네,0.0,"['왜', '피해자', '들', '만', '마스크', '쓰고', '있냐', '참', '역겹네']"
44,네이버나 유튜브나 댓글 상태 심각하네 ㄹㅇ,0.0,"['네이버', '나', '유튜브', '나', '댓글', '상태', '심각하네', 'ㄹㅇ']"
45,제발 다 무사하기를 바랍니다,0.0,"['제발', '다', '무사하기를', '바랍니다']"
46,고인의 명복을 빕니다,0.0,"['고인', '의', '명복', '을', '빕니다']"
47,저기 ㅡ 인 도로 막 지나간 사람과 바로 앞에서 멈춘 모닝,0.0,"['저기', 'ㅡ', '인', '도로', '막', '지나간', '사람과', '바로', '앞', '에서', '멈춘', '모닝']"
48,살기 힘들 거 같은데 그래도 한 명이라도 더 무사히 구출되면 좋겠네,0.0,"['살기', '힘들', '거', '같은데', '그래도', '한', '명', '이라도', '더', '무사히', '구출', '되면', '좋겠네']"
49,유튜브 각,0.0,"['유튜브', '각']"
50,짓다가 무너진 게 아니라 철거하다 무너짐,0.0,"['짓다가', '무너진', '게', '아니라', '철거', '하다', '무너짐']"
51,빌고 빕니다 무사 하시길,0.0,"['빌고', '빕니다', '무사', '하시길']"
52,삼풍 참사를 잊었단 말인가,0.0,"['삼풍', '참사', '를', '잊었단', '말', '인가']"
53,버스정류장이라면서 버스에 타고 있는 사람만 있었던 게 확실해 정류장에 한 명도 없던 게 확실하냐구,0.0,"['버스정류장', '이라', '면서', '버스', '에', '타고', '있는', '사람', '만', '있었던', '게', '확실해', '정류장', '에', '한', '명도', '없던', '게', '확실하냐구']"
54,절대 징벌적 손해배상을 확대하지 않는 이유 이렇게 서민들 죽어도 민사로 몇 푼이면 끝낼 수 있으니,0.0,"['절대', '징벌', '적', '손해배상', '을', '확대', '하지', '않는', '이유', '이렇게', '서민', '들', '죽어도', '민사', '로', '몇', '푼이면', '끝낼', '수', '있으니']"
55,진짜 아침 6시부터 소음 공해 발생하는데 미칠 지경입니다 ㄷㄷㄷㄷㄷ,0.0,"['진짜', '아침', '6시', '부터', '소음', '공해', '발생', '하는데', '미칠', '지경', '입니다', 'ㄷㄷㄷㄷㄷ']"
56,이따구인 나라가 중국 욕을 할 자격은 있는가 싶네,0.0,"['이따', '구인', '나라', '가', '중국', '욕', '을', '할', '자격', '은', '있는가', '싶네']"
57,이게 뭔일이야,0.0,"['이', '게', '뭔', '일이', '야']"
58,뭔 일야 이거,0.0,"['뭔', '일', '야', '이', '거']"
59,돈독 오른 재개발업자들이 무리하게 공사를 진행해서 사고가 났다 재개발 허가 내준 공무원부터 모두 조사해야 한다,0.0,"['돈독', '오른', '재개발', '업자', '들', '이', '무리하게', '공사', '를', '진행', '해서', '사고', '가', '났다', '재개발', '허가', '내준', '공무원', '부터', '모두', '조사해', '야', '한다']"
60,제발 인명피해는 없길 바랍니다 그리고 어떻게 봐도 저건 인재네요,0.0,"['제발', '인명', '피해', '는', '없길', '바랍니다', '그리고', '어떻게', '봐도', '저건', '인재', '네', '요']"
61,전라도 광주냐 경기도 광주냐,0.0,"['전라도', '광주', '냐', '경기도', '광주', '냐']"
62,참 어이가 없는 사고다,0.0,"['참', '어이', '가', '없는', '사고', '다']"
63,우리나라도 마스크 안 쓰는 경우 종종 봄,0.0,"['우리나라', '도', '마스크', '안', '쓰는', '경우', '종종', '봄']"
64,먼 날 벼락이냐 돌아가신 분들은 무슨 죄냐 삼가 고인의 명복을 빕니다,0.0,"['먼', '날', '벼락', '이냐', '돌아가신', '분', '들', '은', '무슨', '죄', '냐', '삼가', '고인', '의', '명복', '을', '빕니다']"
65,아니 ㅋㅋㅋㅋㅋ 무슨 100층짜리 건물 짓는 것도 아닌데 하다 못해 롯데타워도 120층이 넘는데 무너진 적도 없는데 얼마나 개판으로 관리했으면,0.0,"['아니', 'ㅋㅋㅋㅋㅋ', '무슨', '100', '층', '짜리', '건물', '짓는', '것', '도', '아닌데', '하다', '못', '해', '롯데', '타워', '도', '120', '층', '이', '넘는데', '무너진', '적도', '없는데', '얼마나', '개판', '으로', '관리', '했으면']"
66,난 아시아인이 타인을 넉아웃시키는 영상은 처음 봄,0.0,"['난', '아시아', '인', '이', '타인', '을', '넉아웃', '시키는', '영상', '은', '처음', '봄']"
67,인종차별은 나쁜 것이다 그러니 맞기 전에 그만,0.0,"['인종차별', '은', '나쁜', '것', '이다', '그러니', '맞기', '전', '에', '그만']"
68,근데 마스크 어디 갔냐 ㅋㅋ,0.0,"['근데', '마스크', '어디', '갔냐', 'ㅋㅋ']"
69,중 2병이 늦게 왔나 보죵,0.0,"['중', '2', '병', '이', '늦게', '왔나', '보죵']"
70,국적법 통과되면 중국 인도 우리의 국민입니다,0.0,"['국적법', '통과', '되면', '중국', '인도', '우리', '의', '국민', '입니다']"
71,백인도 백색 민족입니 다 유색 인종이란 말이 이 해가 안 되네요,0.0,"['백인', '도', '백색', '민족', '입니', '다', '유색', '인종', '이란', '말', '이', '이', '해', '가', '안', '되네요']"
72,인종차별 당하는 흑인 보고 불쌍햇는데 흑인이 동양인한테 인종 차별하는 거 보고 생각 싹 사라짐 그냥 똑같음,0.0,"['인종차별', '당하는', '흑인', '보고', '불쌍햇', '는데', '흑인', '이', '동양인', '한테', '인종', '차별', '하는', '거', '보고', '생각', '싹', '사라짐', '그냥', '똑같음']"
73,때릴 때 내 속이 다 시원하네,0.0,"['때릴', '때', '내', '속이', '다', '시원하네']"
74,나도 이 제 봄요,0.0,"['나도', '이', '제', '봄', '요']"
75,씁쓸하다,0.0,['씁쓸하다']
76,저렇게 인종 차별 하는 사람들은 도대체 어디 가 그렇게 우월하고 좋길래 저런 행동을 하냐,0.0,"['저렇게', '인종', '차별', '하는', '사람', '들', '은', '도대체', '어디', '가', '그렇게', '우월하고', '좋길래', '저런', '행동', '을', '하냐']"
77,배운 사람은 인종 차별 안 한다,0.0,"['배운', '사람', '은', '인종', '차별', '안', '한다']"
78,속이 다 후련하 네 1억2천만 년 묵은 채증이 내려가는 느낌이다,0.0,"['속이', '다', '후련하', '네', '1억', '2천만', '년', '묵은', '채증', '이', '내려가는', '느낌', '이다']"
79,속이 시원합니다,0.0,"['속이', '시원합니다']"
80,지역차별 인종차별 차별의 황제,0.0,"['지', '역차별', '인종차별', '차별', '의', '황제']"
81,요즘 들어 왜 이 리 사건 사고가 많은지 ㅠㅠ건설 업체 분 뭐 하시나요,0.0,"['요즘', '들어', '왜', '이', '리', '사건', '사고', '가', '많은지', 'ㅠㅠ', '건설', '업체', '분', '뭐', '하시나요']"
82,후진국가에서 일어나는 건물 붕괴 사고 언제쯤 없어질 것인가 이 나라 곳곳이 문재 국고 돈 쓰는 건 1위 세금도 1위 정상인 건 0도 없다,0.0,"['후진', '국가', '에서', '일어나는', '건물', '붕괴', '사고', '언제', '쯤', '없어질', '것', '인가', '이', '나라', '곳곳이', '문', '재', '국고', '돈', '쓰는', '건', '1', '위', '세금', '도', '1', '위', '정상인', '건', '0', '도', '없다']"
83,추가 구조되었다는 버스 승객 2명 사망하셨다고 합니다,0.0,"['추가', '구조', '되었다는', '버스', '승객', '2', '명', '사망', '하셨다고', '합니다']"
84,아니 제목부터 잘못됐잖아 우리도 꿈틀이라니 인종 등급이 있다는 거냐,0.0,"['아니', '제목', '부터', '잘', '못', '됐잖아', '우리', '도', '꿈틀', '이라니', '인종', '등급', '이', '있다는', '거', '냐']"
85,상대가 날 동양인이라고 무시한다면 마스크를 내리고 기침을 해주자,0.0,"['상대', '가', '날', '동양인', '이라고', '무시', '한', '다', '면', '마스크', '를', '내리고', '기침', '을', '해주자']"
86,광주 5층 건물 붕괴 피해자분들과 같은 무고한 희생이 없도록 더욱 안전에 대한 경각심을 일깨웠으면 좋겠습니다 피해자 유가족 분들의 마음 모두 헤아리긴 힘들겠지만 힘내시라는 말 드리고 싶습니다 힘내세요,0.0,"['광주', '5', '층', '건물', '붕괴', '피해자', '분들', '과', '같은', '무고', '한', '희생', '이', '없도록', '더욱', '안전', '에', '대한', '경', '각심', '을', '일', '깨웠으면', '좋겠습니다', '피해자', '유가족', '분', '들', '의', '마음', '모두', '헤아리긴', '힘들겠지만', '힘내시라는', '말', '드리고', '싶습니다', '힘내세요']"
87,성수대교 붕괴삼풍백화점 붕괴 대구지하철 화재세월호 침몰 광주 건물 붕괴 제발 무고한 사람들의 희생이 없는 세상에서 살게 해주세요,0.0,"['성수대교', '붕괴', '삼풍백화점', '붕괴', '대구', '지하철', '화재', '세월호', '침몰', '광주', '건물', '붕괴', '제발', '무고', '한', '사람', '들', '의', '희생', '이', '없는', '세상', '에서', '살', '게', '해주세요']"
88,이 영상 보다가 울었음 ㅠㅠ,0.0,"['이', '영상', '보다가', '울었음', 'ㅠㅠ']"
89,내가 존경해왔던 군인들 중에 저런 쓰레기가 있다니 정말 역겹고 정 떨어지고 돈 아랑 권력이면 파렴치한 짓도 다 하는 상부 놈들 정말 다 나가 뒤져줘 힘들게 노력해서 된 자리애서 저런 개 같은 짓을 하면서 편하개 살고 있는 사람들 보면 진짜 이게 나란 가 싶고 그럴 또 처벌 못하고 처벌한다고 해도 솜방망이 처벌이니 나라가 욕을 먹지 진짜 정말 실망스럽다 그리고 이런  사람들 때문에 진짜 정말 착하고 소신 있게 사는 사람들이 같이 욕받는 거야 그들은 소신 있게 행동하다가 상부한 테 찍혀서 승진도 잘 못하고 그럴 텐데 느그들은 돈 받아 쳐먹고 타협하고 뭐하는 짓들이냐 차라리 내가 더 잘할 것 같네 진짜 정말 한심하다,0.0,"['내', '가', '존경', '해왔던', '군', '인들', '중', '에', '저런', '쓰레기', '가', '있다니', '정말', '역겹고', '정', '떨어지고', '돈', '아랑', '권력', '이면', '파렴치한', '짓도', '다', '하는', '상부', '놈', '들', '정말', '다', '나가', '뒤져줘', '힘들게', '노력', '해서', '된', '자리', '애', '서', '저런', '개', '같은', '짓', '을', '하면서', '편하', '개', '살', '고', '있는', '사람', '들', '보면', '진짜', '이', '게', '나란', '가', '싶고', '그럴', '또', '처벌', '못', '하고', '처벌', '한다고', '해도', '솜방망이', '처벌', '이니', '나라', '가', '욕', '을', '먹지', '진짜', '정말', '실망', '스럽다', '그리고', '이런', '사람', '들', '때문', '에', '진짜', '정말', '착하고', '소신', '있게', '사는', '사람', '들', '이', '같이', '욕', '받는', '거야', '그', '들', '은', '소신', '있게', '행동', '하다가', '상부', '한', '테', '찍혀서', '승진도', '잘', '못', '하고', '그럴', '텐데', '느그', '들', '은', '돈', '받아', '쳐', '먹고', '타협', '하고', '뭐', '하는', '짓', '들이냐', '차라리', '내', '가', '더', '잘', '할', '것', '같네', '진짜', '정말', '한심하다']"
90,군대는 진짜 한 번 갈아엎자,0.0,"['군대', '는', '진짜', '한', '번', '갈아엎자']"
91,국가유공자 가족 후손들이 버림 받는 일은 더더욱 없어야 하는데 나라에서도 군대에서도 버림 받았네,0.0,"['국가', '유공', '자', '가족', '후손', '들', '이', '버림', '받는', '일', '은', '더', '더욱', '없어야', '하는데', '나라', '에서도', '군대', '에서도', '버림', '받았네']"
92,혼인신고 날 참 죄를 저질렀으면 벌을 받아야 하는 게 당연지사 장 중사를 비롯해 저 부대 여단장부터 변호인까지 모두가 벌 받았으면 좋겠다,0.0,"['혼인신고', '날', '참', '죄', '를', '저질렀으면', '벌', '을', '받아야', '하는', '게', '당', '연', '지사', '장', '중사', '를', '비롯', '해', '저', '부대', '여', '단장', '부터', '변호인', '까지', '모두', '가', '벌', '받았으면', '좋겠다']"
93,억울한 죽음을 당한 이 중사 분의 죽음을 추모합니다 꼭 하늘에서는 편안하게 쉴 수 있도록 빕니 다이 중사를 죽음으로 내몰 게 한 상관들은 꼭 죗값을 치러야 된다고 생각합니 다 이래서 군대를 뭘 믿고 귀한 자식들을 보낼 수 있을까요 꼭 바뀌어야 됩니다,0.0,"['억울한', '죽음', '을', '당한', '이', '중사', '분', '의', '죽음', '을', '추모', '합니다', '꼭', '하늘', '에서는', '편안하게', '쉴', '수', '있도록', '빕니', '다', '이', '중사', '를', '죽음', '으로', '내', '몰', '게', '한', '상관', '들', '은', '꼭', '죗값', '을', '치러야', '된다고', '생각', '합', '니', '다', '이래서', '군대', '를', '뭘', '믿고', '귀한', '자식', '들', '을', '보낼', '수', '있을까요', '꼭', '바뀌어야', '됩니다']"
94,이게 바로 대한민국 육군이 다 일부의 잘못이어도 그렇고 그걸 내버려뒀다면 공범이다,0.0,"['이', '게', '바로', '대한민국', '육군', '이', '다', '일부', '의', '잘못', '이어도', '그렇고', '그걸', '내버려', '뒀다면', '공범', '이다']"
95,자체 수사는 절대 피해자를 보호해주지 않는다 비리 검찰 비리 경찰 비리 군인 다 자체 수사권이 있는 조직이다,0.0,"['자체', '수사', '는', '절대', '피해자', '를', '보호', '해주지', '않는다', '비리', '검찰', '비리', '경찰', '비리', '군인', '다', '자체', '수사권', '이', '있는', '조직', '이다']"
96,저거 징계 받아봤자 진급 늦춰지거나 보직 변경하고 끝남 군대가 그렇지 비리천국임,0.0,"['저', '거', '징계', '받아', '봤자', '진급', '늦춰지거나', '보직', '변경', '하고', '끝남', '군대', '가', '그렇지', '비리', '천국', '임']"
97,늘 그래왔듯이 안 바뀌겠지 매번 바뀌겠지 하는 희망을 같는 것도 지친다 정부 건 군이던,0.0,"['늘', '그래', '왔듯이', '안', '바뀌겠지', '매번', '바뀌겠지', '하는', '희망', '을', '같는', '것', '도', '지친다', '정부', '건', '군', '이던']"
98,군대는 웃지요 계급으로 먹고 살아요 계속 발생해요,0.0,"['군대', '는', '웃지요', '계급', '으로', '먹고', '살아요', '계속', '발생', '해요']"
99,이런 사건이 일어나지 않아야 진급이 되는 시스템이 아니라 이런 사건을 의혹 없이 잘 해결해야 진급이 되는 시스템이 군대에 정착되어야 함 애초에 사건 사고 없는 집단이 있을 수 있나 군대 내 애서 사건 사고가 없다면 그건 은 폐한 거라고 봐야지,0.0,"['이런', '사건', '이', '일어나지', '않아야', '진급', '이', '되는', '시스템', '이', '아니라', '이런', '사건', '을', '의혹', '없이', '잘', '해결', '해야', '진급', '이', '되는', '시스템', '이', '군대', '에', '정착', '되어야', '함', '애초', '에', '사건', '사고', '없는', '집단', '이', '있을', '수', '있나', '군대', '내', '애', '서', '사건', '사고', '가', '없다면', '그건', '은', '폐', '한', '거', '라고', '봐야지']"
100,아직 어린 데 안타깝네요 지켜 줄 사람이 그렇게 없었나 자살 말고도 할 수 있는 방법이 많은데,0.0,"['아직', '어린', '데', '안타깝네요', '지켜', '줄', '사람', '이', '그렇게', '없었나', '자살', '말고도', '할', '수', '있는', '방법', '이', '많은데']"
101,지 동료 하나 지키지 못할망정 죽이게 만드네,0.0,"['지', '동료', '하나', '지키지', '못', '할', '망정', '죽이게', '만드', '네']"
102,국가를 위해 입대 입대 했더니 국가가 버렸구나 이게 나라야,0.0,"['국가', '를', '위해', '입대', '입대', '했더니', '국가', '가', '버렸구나', '이', '게', '나라', '야']"
103,정신력 강 한 군인일 텐데 그 맨탈마저 무너질 정도로 얼마나 힘들었을지를 생각조차 할 수 없는 고통일 겁니다 저들이 한 행위는 살인입니다 ㅠ 반드시 강한 처벌이 이루어져서 또 다른 이들이 죽음으로 몰리는 일이 없어야 되지 않을까 합니다 ㅠ 너무너무 가슴이 미어지네요ㅠ,0.0,"['정신', '력', '강', '한', '군인', '일', '텐데', '그', '맨', '탈', '마저', '무너질', '정도', '로', '얼마나', '힘들었을지를', '생각', '조차', '할', '수', '없는', '고', '통일', '겁니다', '저', '들', '이', '한', '행위', '는', '살인', '입니다', 'ㅠ', '반드시', '강한', '처벌', '이', '이루어져서', '또', '다른', '이', '들', '이', '죽음', '으로', '몰리는', '일이', '없어야', '되지', '않을까', '합니다', 'ㅠ', '너무', '너무', '가슴', '이', '미어지네요', 'ㅠ']"
104,이제서야 얼굴 보이는 국방부 장관 그 전엔 무엇을 했는가,0.0,"['이제', '서야', '얼굴', '보이는', '국방부', '장관', '그', '전', '엔', '무엇', '을', '했는가']"
105,또 몇 개월 지나면 잊혀지겠지 우린 끝까지 잊지 말자,0.0,"['또', '몇', '개월', '지나면', '잊혀지겠지', '우린', '끝', '까지', '잊지', '말', '자']"
