,0
36129,"군생활 할때 일병이 휴가 미복귀..<br>생기부 뒤져서 얘가 하는 게임이 뭔지 알아낸다음<br>게임상에서 걔 아이디 친추 한다음 접속할때까지 존버..<br>10시간 뒤 쯤 접속알람 뜨자마자 경찰에 신고해서<br>위치추적해 잡았던 썰이 생각나네요! 잡아와서 그린캠프 보내기 전에<br>행보관한테 한 첫 마디 &quot;PX가고 싶습니다&quot;<br><br>+추가내용<br>금요일 미복귀라 경찰과의 공조가 원활하지 못했음.<br>자체적으로 조치할 수 있는것을 하다가,<br>생기부 뒤저보다가 게임 좋아한단걸 확인해서<br>지휘관에게 노트북으로 게임설치해서 모니터링 하자고 건의했음.<br>생전 처음해보는 게임 다운받아서 아이디 만들고,<br>귓속말인가 친구추가인가 기능 이용하려면 레벨이 어느정도 필요해서<br>튜토리얼하고 레벨업 했던 기억이 납니다.<br>지휘관은 레벨업 언제 되냐고 물어보고ㅋㅋㅋㅋㅋㅋㅋ(유쾌한 지휘관이었음)<br><br>**그리고 저 예비역입니다..! 정훈장교출신!"
36130,@김상우 그리고 니 말에 논리가 어딨냐ㅋㅋㅋ 떼쓰면서 자기 주장만 ㅈㄴ 하는데ㅋㅋㅋㅋ 급식이나 미필이면 답이 없고 군생활 하고 온 사람이라면.. 최소 중대 폭파시키고 왔을듯 ㅍㅋㅍㅋ
36131,@김상우 ㅋㅋㅋㅋ 하나하나 반박 못하고 튄 건 너지 모질아ㅋㅋㅋㅋ ㅈ도 안 되는 꼬투리 잡아놓고선ㅋㅋ 가서봐바라ㅋㅋㅋ 그 다음에 니가 답글 단 거 없는데?ㅋㅋㅋ 딴넘한테 물려가지고 조리돌림 당하더만ㅋㅋㅋ 자기 논리에 문제있는건 전혀 모르쥬ㅋㅋ
36132,@ds m 내가 언제 정당화 했는데? 아니 그 글에서 논리적으로 반박못하고 튀었으면서 여기와서 시비거네ㅋㅋㅋㅋ 정당화를 한적이 없어 너희같은 구데기들 시선과 반응이 문제라는거지ㅉㅉ; 쟤 말이 내가 반박못하는것 같아서 ㅉㄸ마냥 이때다싶어 시비거는건 알겠는데 쟤도 곧 털릴텐데 글이 삭제된다ㅉㅉ; 좀 나대지마ㅉㅉ;
36133,@ds m 논리적으로 반박못하고 튄애네 위에 퐁당퐁당 쟤한테 말해줘봐 너도 결국 쳐발리고 아봉했잖아 댓글이 계속 삭제되는데 어쩌라는거야ㅉㅉ;
36134,@나하나쯤이야 응 너
36135,미래가 보인닼ㅋㅋㅋ 점마 저래서 전역하려는거 보고 최일구 개빡쳐서 박민석한테 니 아버지한테 말해서 저거 못막냐? 하고 물어보고 해피엔딩나는ㅋㅋㅋ
36136,"아 말끝 흐리는거 좀 그르네,, 꼰머다 나는,,"
36137,느애애애애애앵;;;;;; 느아아아아ㅏㅏ아ㅏㅏㅏㅣㅣㅣ;;;;;;
36138,유튜브 알림이 자꾸 날 배신한다...
36139,시작부터 스트레스 ㅈㄴ 받네 ㅋㅋㅋㅋ
36140,이거 박민석이 나중에 윤모..뻉기쓴거 알고 ㅈ되게 만들거 같은데..
36141,우리 생활관에 똑같은애 있었다 진심 ..마지막 화장실 액션까지... 일병에 의가사 제대함
36142,"<a href=""https://www.youtube.com/watch?v=vt32h8dG4OI&amp;t=01m45s"">01:45</a>  펜 잡는 거 봐라 소름이 쫙 돋네;;;;"
36143,뺨 진짜 좌우 4박자로 마렵네
36144,와 씨바 퇴근길에 보면서 걷는데 소름 끼쳐서 여름 지난줄 알았네 ㄷㄷㄷㄷ
36145,보면 볼 수록 병무청이 얼마나 일을 안하는 지 알 수 있는 만화다 ㄹㅇㅋㅋ
36146,인수인계 리얼하네ㅋㅋㅋ
36147,다음화 힐링캠프 1 로찾아보겟습니다
36148,"박민석, 다시 보니 선녀.. 아니 천사 같다. 가끔 아빠 빽으로 실내 점호까지 가능한 빛.민.석."
36149,우리부대에도 저 테크탈려고 커터칼로 손목 그은새끼있었는데ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ<br>슴살되자마자 입대하면서 지가 제일 쎈줄알고 특공대 지원해서 왔다가 몇시간만에 개터지고 몇주를 적응못하더니 그냥 그어버림<br>근데 실혈량이 맥날 케챱 반도 안나옴<br>이색기 어떻해할지 간부들 회의 하다가 다른 대대에 쪽팔려서 어디 못보내고 중대장이 데리고 살기로함<br>ㄱㅂㅎ 잘사냐? <br>니 이거보고 실실쪼개지? 쟤랑 너랑 다를거 없어 임마
36150,자해씬 보고 단간론파 패러디인줄
36151,힉 자살?
36152,"<a href=""https://www.youtube.com/watch?v=vt32h8dG4OI&amp;t=0m42s"">0:42</a> 우리 김일병이는 얼굴에 싸주는걸 좋아하는구나?"
36153,병무청 ㄹㅇ 일 안하냐? 윤모를 군대를 보내고있어;;
36154,내 동기중에 윤모같은세끼있었다 ㅋㅋㅋㅋㅋ어설프게 손목 스크레치만 내고 행보관님한테 찾아가서 보란듯이 보여줬는데 그때 행보관님이 원사셨는데 행보관님이 뭐하는세끼냐고 대갈통 한대때리고 그을꺼면 제대로 긋고 말꺼면 성실히 군생활하라했음ㅋㅋㅋㅋㅋ결국 나랑 만기전역하고 위병소나왔다ㅋㅋㅋㅋㅋㅋㅋ
36155,나도 모르게 엔딩 보면서 쌍욕을 해버렸다...
36156,"<a href=""https://www.youtube.com/watch?v=vt32h8dG4OI&amp;t=4m24s"">4:24</a> 이거 핏줄 끈어서 자살 하려는거임?"
36157,ㅇㅇ 정확히는 자살하려는 연기
36158,내친구 저렇게 자살한다고 쇼하는폐급 교육시킨다고 화장실로 데리고가서 커터칼주고 자살하라 시켰는데 부들부들 떨면서 울고 다음부터 자살로 쇼안하더라는 썰...영창도 갔던 ㄸㄹㅇ라서 신빙성 높음
36159,아 내 맞후임 생각나서 도저히 못 보겠다ㅅㅂ 숨 막히네
36160,저 병장이 불쌍한건 나만 보이냐 와 ptsd 지리누
36161,영상이 과장되거나 구라같죠? 가보세요 저런애들 한둘이아닙니다.
36162,"<a href=""https://www.youtube.com/watch?v=vt32h8dG4OI&amp;t=2m00s"">2:00</a> 베레모 육군마크 가운데ㅋㅋㅋㅋ<br>디테일 지리네ㅋㅋㅋㅋ"
36163,ㅋㅋ 그을려면 면도날 방향부터 바꿔야지;;
36164,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
36165,털갂다걸렸넹 ㅠㅠ
36166,와 진짜 ㅋㅋㅋ 내 후임이었던ㅅㄲ랑 하는짓이 똑같네 저거 머리카락 걸고 연기임 후임ㅅㄲ 우울해 하는척 자해 하는척 하면서 연기 ㅈㄴ해서 의과사 했는데 페북보니까 ㅆㅂㅋㅋㅋ 실실 쪼게면서 사진 찍은거 올리더라 전역하고 2일 후에
36167,나도 군대가면 폐급됄까봐 걱정했는데 크론병걸려서 다른사람들에게 민폐가안돠서 다행이다...
36168,ㅅㅂ 암 걸릴거같음
36169,와 진짜 아찔하다
36170,"<a href=""https://www.youtube.com/watch?v=vt32h8dG4OI&amp;t=0m47s"">0:47</a><br>얼싸좃ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㅗㅜㅑ"
36171,엔딩장면 보고 등골에 소름이 쫙 올라왓다... 으으으으
36172,병호야 보고싶다
36173,마지막에 자해하고있는거임?
36174,뭐야 빨리나왔네
36175,"<a href=""https://www.youtube.com/watch?v=vt32h8dG4OI&amp;t=1m46s"">1:46</a> 펜잡는 디테일 ㄷㄷ"
36176,"<a href=""https://www.youtube.com/watch?v=vt32h8dG4OI&amp;t=4m17s"">4:17</a> 그을 시간 충분했는데 안 그은 이유 : 김상훈이 목격해서 증인 생겨야 하니까"
36177,저거 면도기로 해봤자 피부만 나가지 깊숙히 안베여서 실제로 하는애들은 면도기 부셔서 날 하나만 잡고 그음.<br>그리고 방향도 혈관 가로로 베어야 하는데 혈관과 일직선 방향이네.<br>부사관 하면서 의과사 할려고 뻘짓 하는 것들 보다보니 각이 딱 보이네.
36178,저 면도기로 긁어봤자 절대 동맥 못그으니까 일 커지게하려면 목격자 진술이 있어야함
36179,@아아리바마 ㅇㅇ맞아 애초에 그을생각이 없고 그냥 목격자 나타날때까지 기다린거임 우리부대도 저런새끼있었는데 시발 그리고 손목 생각보다 저런칼로 잘 안베임
36180,@sang koo ㄹㅇㅋㅋ
36181,@ᄋᄆ ㅇㅎ 감사함다
36182,캬 신병이다
36183,보면 ptsd오는데 안볼수가없다
36184,손목에 있는 털 깎는건데 왜 윤모한테 왜 그래 ㅠ
36185,"이건 참지,,,"
36186,"<a href=""https://www.youtube.com/watch?v=vt32h8dG4OI&amp;t=2m02s"">2:02</a> 윤모 베레모 불편해 죽겠네 ㄹㅇ"
36187,아니 이건 잘못하면 ptsd 온다고 ....ㅅㅂ
36188,얼굴만 봐도 설레네
36189,저거 연기면 개소름이네 ㄹㅇ
36190,진짜 오인용의 파급력을 뛰어넘는 최고의 밀리터리물이다.
36191,ㅇㅈ...오인용은 빡이 칠 지언정 무섭지는 않았는데 진짜 이건 소름이 돋아요. 도대체 장삐쭈는 이걸 머리속에서 매 화 꺼내면서 상태가 괜찮은지
36192,ㅅㅂ
36193,저런애들 진짜잇어....경험해보면 핵소름이다...전역하고 밖에서 마주친적잇는데 와...레알정상인이야
36194,고문관 ㅋㅋㅋㅋㅋ
36195,와 씨 공포물;;
36196,ㅅㅂ 윤모에 비하면 박민석은 진짜.. ㅈㄴ 착한거였네
36197,아 ㅈ같네
36198,영화 용서받지못한자 생각나네 ㅋㅋ
36199,군필자들에게 ptsd를 유발
36200,난 전역하기 2달전에 분대원으로<br>저런친구 받음 오기전에 이미<br>샤프인지 볼펜인지로 손목 자해했다고함 그거해가지고<br>사람이 죽겠어? 그냥 의가사전역 노린게 보였으니 자대배치받고 온거겠지
36201,나 군대있을때 볼펜으로 손목 그어서 그린캠프 들어간 새끼 있었는데 ㅋㅋ도라이색 볼펜으로 자살이 가당키나 한가 실제로 저렇게 연기해서 꿀빠려는 도라이들 군대에 꼭 있음
36202,와 존나 무섭네 ㅋㅋㅋ
36203,"아니 왜 대답을 안하고, 말을 안해. 답답해 듸지네"
36204,11군번 어승h라는 동기가있었다<br>이등병때 불침번 서고있는데 그녀석이 나오더니 사수에게 화장실간다고 허락을 구하고 큰일을보러 들어갔다<br><br>사수가 저녀석 관심병사니까 잘 감시하라고했는데 아무리 큰거여도 너무 늦게나와서 몰래들어갔는데<br>그녀석 혼잣말로 &#39;아 죽을까? 진짜 죽을까? 죽으면 끝나겠지? 진짜 죽고싶다&#39;라고 함<br>바로 선임에게 이야기하고 선임이 당직사관에게 보고해서 당시 당직사관 남이형이 바로 끌고나와서 상담ㅈㄴ한후 보냄 그리고 잘때까지 집중마크했음.<br>잘살고있냐 s호야??ㅋㅋ
36205,진짜 윤모 개 답답하네 ㅋㅋㅋㅋ
36206,저걸 근무넣네 ㅋㅋㅋㅋㅋㅋㅋ
36207,윤모 개킹받네ㅋㅋㅋ
36208,면도칼 들고 걍 보여주기 한거같은데
36209,그도 그럴게 진짜 자살할 생각이었으면 진작에 계속 긋기 시도했겠지 저렇게 팔목에 댄채로 위에 쳐다보고 있지 않음. 딱 봐도 보여주기식
36210,아니 마지막 보기전까지 박민석 일병같은 애는 군대에서 많이 봤지만 아무리 폐급이라도 신병처럼 저런애는 첨보는데 이런생각하다가 마지막보고 아 ㅅㅂ 그린캠프 갈라고 저 ㅈㄹ하는거였구나 라고 이해함 ㅋㅋㅋㅋㅋㅋㅋㅋ
36211,난 저런 폐급 안봐서 그나마 다행이다
36212,와 보는대 진짜 면상 발로 차고싶다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
36213,그린캠프갔다 나보다 빨리 전역한 후임이 생각나는구만
36214,저걸로 긁어서 죽겠냐
36215,만약 저 영상에서 나온것 처럼 의도적으로 의가사 재대를 하는것이 탈로날 경우 진짜 나라에서도 기업에서도 그것을 알수 있겠끔 해야함 너무 뻔뻔하지않는가? 다른 부대원들 고생시키고 의가사 제대 이후 뻔뻔하게 페이스북이나 이런거에 아무렇지않은척 산다는건 진짜 용서해서는 안된다 어떤 누구도 군대를 원해서 가는 경우는없다 하지만 어떻게든 적응하고 서로 노력하는 분들에 훨신 많은대 그중에 저런 인간들 때문에 물을 흐린다면 거기에 맞게 그분들에게 불이익을 줘야하는건 당연하지않겠는가?
36216,"<a href=""https://www.youtube.com/watch?v=vt32h8dG4OI&amp;t=02m15s"">02:15</a> 베레모 육군마크 눈썹 위가 아니라 가운데에다 쓴 거 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
36217,진짜 ㅋㅋㅋ 현실반영 쩐다.<br>전역하고싶어서 일부러 연기하네ㅋㅋㅋ.<br>저러니 군대가 더힘들지 저색히 전역시켜도 그만큼 인력보충도 안해주고.<br>저색히는 또 부대내에 남아서 대기하는 시간도 길어지고.
36218,저런 얘들이 막상 사회에 나오면 되게 멀쩡해..
36219,손목에 털나서 털  깎는다에 내 털건다
36220,윤모는 찐이다
36221,"군대 갔다온사람들은 <a href=""https://www.youtube.com/watch?v=vt32h8dG4OI&amp;t=3m04s"">3:04</a>이때부터 ㅈ됐다는걸 직감했음"
36222,"<a href=""https://www.youtube.com/watch?v=vt32h8dG4OI&amp;t=2m02s"">2:02</a> 베레모쓴거부터 ㅈ됨"
36223,팔에 털이 많이 나서.. 제모하고 있었습니다.. 죄송합니다..
36224,"근데 진짜 자살소동 하는 새끼들은 보면, 이병때 함. 뭐 군생활 해보지도 않고 시바 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 참 아숩지 막상 해보면 좆같긴해도 못하는 건 아닌데"
36225,일주일만에 신병 시리즈라니... 이건 꽤나.. 두근두근하군요
36226,사실 팔에 있는 털 밀고 있었던거임
36227,자살할거 였으면 자다일나서 했겠지  지  근무때 하면 당연히 찾을껀데 ....
36228,윤모 팬잡을때 디테일 봐라 소름돋았다 이거 캐치한애 있냐?
36229,얼싸좋...
36230,"<a href=""https://www.youtube.com/watch?v=vt32h8dG4OI&amp;t=3m24s"">3:24</a> 와 시발 아무리 그렇다지만 정리안하고 환복해서 근무투입한거야? 진짜 대단하다"
36231,이 댓글 있을거라 생각했는데ㅋㅋㅋㅋㅋ
36232,이번밤 당직사관이 자고있어서 다행이지
36233,ㅋㅋㅋㅋㅋ와 저걸캐치했누 찐군인이네
36234,ㅋㅋㅋㅋ국룰인데
36235,와 다시보니 디테일 지린다 진짜 ㅋㅋㅋㅋㅋㅋㅋ 하나부터 열까지가 폐급냄새 오지네
36236,상훈이 포상받겠노
36237,박민석도 답답할 정도면 폐급을 넘어 개노답인데
36238,면도날로 백번천번은 긁어야 죽을동말동 할거다 ㅋㅋㅋㅋ
36239,왜이래요 삐쭈씨? 얼릉 회차 빼고 휴가 갈라는거예요? 뭔 바람이 불어 신병을 1주에 한개씩 빼 ㅋㅋ
36240,전선인줄 알았는데 면도기네 시벌
36241,와 ㅋㅋㅋㅋㅋㅋ 아찔하다 진짜
36242,중 1이라 잘모르는데 엔딩 해석해주실분 계신가요?
36243,아진짜죽여버리고싶다
36244,손목털이 자라고있는게 아닐까
36245,이야 어떻게 딱 퇴근할때 나오냐고ㅋㅋㅋ<br>존나행복하다 버스안인데 아까워서 누르기싫을정도네ㅋㅋㅋㅋ
36246,"<a href=""https://www.youtube.com/watch?v=vt32h8dG4OI&amp;t=0m48s"">0:48</a> 얼싸 좃"
36247,나때 본부에서 온 신병있었는데 밤에 자는데 옆으로 누워서 나 뻔히 보고 있길래 깜짝놀라서 너 뭐하냐고 그러니깐 병장님 관물대 위에 귀신있어서 해꼬지 못하게 감시하고 있었다고 하더라 ㄷㄷ;; 그 이후에 산악행군 예비로 300미터 고지쯤 갔는데 거품물고 쓰러지길래 출발지 엠뷸까지 죽어라 엎고 뛰어서 앰뷸 실어보냈는데 나중에 군의관이 꾀병 같다 그러더라 ㄷㄷ 호흡 맥박 다 정상이라고... 군대에 미친놈들 많다..
36248,몰라서 그러는데 저걸로 깊게 베어지나요?
36249,털깎는거 아닐까요?ㅋㅋㅋ
36250,털 정리 하는거일수도
36251,중대장~대대장일거라 생각했는데
36252,You make me want to learn Korean.
36253,설마 민석이 때문에 그었다고 말하는거 아님?
36254,물펜 진짜 오랜만에 듣는다 역시 군썰은 장삐쭈
36255,꿈에 나올 거 같다 ;;;;
36256,생각해보면 애초에 면도칼로 손목 그어서 자살하려는 생각 자체가 무리수 아닌가? 동맥도 그냥 긋는 게 아니라 깊고 길게 그어야 과다출혈로 죽는다는데 면도칼로 어떻게 하려고? 다 연기지
36257,윤모같은애가 어떻게 신검 1급이냐.. 저런애를 걸러야지..
36258,무서워서 댓글 보면서 봤습니다.
36259,진짜 폐급짓이 당시에는 ㅈㄴ 참신하다고 생각했는데 신병이나 다른 사람 썰 들어보면 다 일률적이구나<br>그들만의 커뮤니티가 있는 것인가?
36260,"<a href=""https://www.youtube.com/watch?v=vt32h8dG4OI&amp;t=0m47s"">0:47</a> 얼싸ㅈㅗㅅ"
36261,저거 자살하는거임?
36262,대체 훈련소는 어떻게 나왔데?!.....
36263,실제 맞후임이 저짓거리하다 진짜로 손목그은 당사자입니다… 연기 맞긴 한데 그중에 진짜 미친놈들 가끔 있으니 혹시 복무중에 저런 후임 들어왔다고 뒤탈 생길정도로 갈구지 마십쇼 훅갑니다… 갈굴땐 무슨일 생겨도 감당 가능할정도로 하십쇼
36264,@dhsrkd ongang 쉽게말해 저런짓을해야 의과사 전역 할 수있음 연기하면서 저지랄하는거임  폐급에 이유가있나요? 저도 저런애들 머릿속을 들여다본게아니라 ...
36265,@고마해라 그걸 왜 모르겠습니까 <br>근데 제말은 왜 협박성으로 하냐 이거죠..<br>차라리 저런놈들 입을 줄이는게 좋은거라 말씀드리는 겁니다
36266,@늴늬리리 죽으면 남한산성 가야죠
36267,@고마해라 영창도 아니고 교도소행임 재수없어서 진짜  죽으면
36268,@dhsrkd ongang 진짜죽으려는게아님 님 미필임? 선임들한테 자기언제든 돌발행동 할 수 있으니 협박성으로 저지랄하는거임
36269,다 연기 였어.. ㅋㅋ
36270,너무기다렸어요
36271,머시여!!!!!
36272,아.. 정신병자 코스프레 ㅅㅂ거 ptsd 씨게오네
36273,질레트 면도기로 자살 가능?
36274,뭐지... 벌써 1주일 지났었네....?
36275,아 씨발
36276,마지막 장면 면도칼이 아니라 인공지능 로봇인줄 알았네...
36277,나 군 복무할때 진짜 뻥 안치고 저 개폐급 새끼랑 똑같은 개 폐급 선임이 있었는데 진짜 연기였음.
36278,진짜 뒤질라면 저거로 안긋지 걍 목메지 ㅋㅋㅋㅋㅋㅋㅋㅋ
36279,잘하려고 해도 잘 안되는 얘들은 시키면 안되도 못해도 일단 하고 보더라. 대답도 크게 하고 아무리 갈굼당하고 부조리통제 당하고 심지어 상병장들한테 인격모독에 맞기까지 해도 찌르지도 않고 안보이는데서 군가 외우고 병기본 외우고 열정이 넘치더라. 초반에 개념파악을 못해 고생많이 해서 보는 사람이 안타까울 정도. 딱 내 후임이 그런 부류였는데 짬먹고 나서는 세상 그런 말동무가 없더라. 군생활 대충 할려는 새끼들은 짬대우도 안해줬는데 걔는 간부들한테 안찍히게 노력하고 임무부여 된 것도 꾸역 꾸역 다 해낸 그런 얘라서 뭐라도 챙겨주고 싶더라. 1인분을 못하는데 어떻게든 소대원.분대원 피해 안가게 할려고 지딴에서 무지하게 1인분 할려고 노력하려는게 보였지
36280,정지혁병장님 보고싶다 시발...
36281,"<a href=""https://www.youtube.com/watch?v=vt32h8dG4OI&amp;t=4m21s"">4:21</a> 시발 로봇팔인쥴알았네ㅠㅋㅋㄴㄴㅋ"
36282,저도 그런줄알고 놀랬죠
36283,저게...1급?
36284,물펜ㅋㅋㅋㅋㅋㅋㅋㅋ
36285,시대가 바뀌어도 저런 애들은 한명씩은 꼭 나옴
36286,시ㅂ ㅈ같다
36287,"<a href=""https://www.youtube.com/watch?v=vt32h8dG4OI&amp;t=2m00s"">2:00</a> 여기 asmr 같고 좋으네"
36288,"<a href=""https://www.youtube.com/watch?v=vt32h8dG4OI&amp;t=3m21s"">3:21</a> 우리 윤모 환복하고 침대랑 활동복 정리해논 꼬라지 봐라"
36289,"진짜 4급 받은 제 친구 격투기하다 관절 파열되서  달리다가도 갑자기 상하로 어깨 탈골되는 관절와순 파열, 방카르트 병변 2회 수술한 애가 겨우 4급받는게 요즘 신검 수준입니다. 솔직히 그 친구 보면 저런애들 면제 시켜야지 무슨 멸치 돼지들 4급 주질 않나 병무청 기준이 이해가 진짜 안됩니다"
36290,@Kiw Kiki 애시당초 무슨 병이 있어서 체중에 문제가 있는게 아니면 다 식습관 조절시키고 운동하면 평체 만들수 있는데 체중으로 급수를 가르는 거 자체가 이해가 안되네요.
36291,그래서 체중공익 강화되지 않음? 이제 ㄹㅇ 돼지 ㄹㅇ 멸치만 줄걸
36292,이번화로 윤모의 폐급짓은 다연기였단게 공개됐네요
36293,아니 근데 제가 아직 급식이라 그런데 진짜로 군대가면 저런 애들 하나 씩 있나요?
36294,거울치료 ㅋㅋㅋㅋㅋ
36295,와 씹
36296,sheee we early tn
36297,아직 안그엇네 충분히 그을시간있었는데 불구하고 그냥 보여주기용인듯.
36298,하 진짜 개빡치는데 어떡하냐 이거 ㄹㅇ...
36299,인트로에 나오는 군가 제목 아시는 분 있나요??
36300,"내 군대 생활중에 진짜 저런애있었는데 저럴때 행보관의 능력치가 나타남,.능력치 좋은 행보관은 전역심사 띄워서 중대 행복 먼저 챙기고 능력치 거지같은 행보관은 선임병사만 ㅈ갈궈서 지 진급평가만 신경씀"
36301,아니 진짜 왜 군대가서 연기하는겨??? 그런 정신 있으면 열심히 하고 나중에 전역하고 술 안주 하면 얼마나 좋아...... 안타깝네 진짜 ㅠ
36302,내 맞후임도 저지랄했었다는데...씨바 ㅋㅋ성윤모 볼때마다 맞후임 보는거같아서 겁나 킹받네..
36303,진짜 이력서에 불명예전역(정신이상) 필수로 적어야하면 저런거 없어지지 않을까??<br>다시 군대 가서 2년 채우고오면 없애주고
36304,@jaeman ju 의가사 전역했다고 필수 기재를 하지 않아도 되는 것 역시 사회에서도 그건 부당한 처사라고 판단해서 그런 거지
36305,@jaeman ju 군대 갔다오니까  그냥  군대에 와서 적응 못하고 저렇게 의가사 노리는 애들도 이해가 가고 불쌍해보임.  나 또한 이등병때 진짜 집 가고 싶어서 미칠 뻔했으니까.  <br>의가사를 노리는 게 밉상처럼 보일 수 있지만 그 사람들 역시 어쩔 수 없이 끌려온 애들임. 사회 나오면 아무런 이상 없이 정상적인 생활 하고 있을 애들.  <br>그런 사람들한테  군생활 적응 못했다고 사회에서도 정신병 취급 받으라고 하는 건 같은 남성으로서 공감은 안감
36306,@테스형 정상적인 군생활을 했으면 박제가 안되는거고... 다시 군대에가서 없앨 수 있다는 기회까지 주자는건데......<br>정신이상해서 군대에서 의가사 할 정도로 도움이 필요하면.. 사회에서도 도움을 필요로하는 사람이여야 맞지 않을까요??
36307,"그건 아니지, 일단 화낼려면 일차적으로 저런애들도 보내는 국방부한테 화내"
36308,그러니까 기준을 좀 강화해야하는데 개나소나 안갈려하고 출산율도 낮으니까 저런 애들이 어쩔 수 없이 채워지는거지 우리 부대만 하더라도 나 이병때 총원 73이었는데 전역할때 되니까 총원 48명이더라.. 진짜 외박외출도 힘들게나가고 엄청 그지같았음
36309,백퍼 연기지
36310,자살소동벌이고 의무실입원하고 새벽에 의무병들 총기함 흔들어대며 정신나간척하던 사람 <br>진짜 이병때부터 꾸준히 컨셉지키고 결국 현부심받고 상말때나갔는데 <br>해맑게웃으며 얘들아 난간다~ 하던 장면이 잊혀지질않네 ㅋㅋㅋㅋㅋㅋ
36311,"<a href=""https://www.youtube.com/watch?v=vt32h8dG4OI&amp;t=3m21s"">3:21</a> 성인모 침대 위에 생활복 던져놓고 모포 꼬라지봐라 상병도 저렇게 정리해놨는디"
36312,저ㅈㄹ 하는 애들<br>병장 달면 아주 씻은듯이<br>증상이 없어짐<br>그리고 후임 ㅈㄴ 갈굼<br>상병정도한테는 짬당하니까<br>이등병 갓일병 겁나갈굼<br><br>나도 있었음<br>내 바로 윗 선임 옆소대 에서<br>전출왓는데<br>병장달고 저 병이 없어짐 ㅋㅋㅋ<br>아주멀쩡해짐
36313,벌써 한...10...5년 정도 된 거 같은데 이름도 기억안나네 21사단 65연대 1대대 3중대 3소대 3분대에서 동반입대해서 밥못먹겠다고 생쑈하던 ㅅㅋ야 니 덕분에 말년에 골치 ㅈㄴ아팠지 쉬벨럼 내가 니 연기였다에 니 정자건다 개쉐이야 내가 니 신병 때 분대장이다 누군지 알겠지?
36314,볼때마다 ptsd온다 ㅆㅂ
36315,결말 어찌될지 모르겠지만 성윤모 의병제대하면 개빡칠 것 같다ㅋㅋㅋㅋ 만기전역 시켜줘요 삐쭈님
36316,"<a href=""https://www.youtube.com/watch?v=vt32h8dG4OI&amp;t=0m48s"">0:48</a> 듣자마자 놀랐다...응?? UL SSA XX???"
36317,변기물내리는손잡이에 전투화끈묶어서목매다는 연기했던놈 생각나네 그다음날 전투화끈 다 늘어나는걸로 교체되고 끈이라는 끈은 다소각함
36318,와 이거 나오기 얼마나 기다렸는데 ㅋㅋ
